馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ガヤーズランボー,牡2,55.0,浜中,栗東・秋山,差し,76.2,9,8,2歳未勝利,39.3,482(-8),阪神,21,中2週,Y,,2,ミスターメロディ,ファスリエフ,,
2,2,リアルメッセージ,牡2,55.0,岩田望,栗東・小林,差し,12.3,4,3,2歳未勝利,38.1,458(+6),阪神,21,中2週,Y,,2,リアルインパクト,Unusual Heat,,
3,3,ルーストカール,牡2,55.0,,栗東・羽月,差し,65.5,8,4,,37.2,434(+20),小倉,70,中9週,Y,,3,フィレンツェファイア,スペシャルウィーク,,
4,4,サウンドエフォート,牡2,55.0,吉田隼,栗東・安達,差し,37.4,6,8,2歳未勝利,43.0,484(-10),札幌,35,中4週,Y,,3,ヘニーヒューズ,ハーツクライ,,
5,5,ウルスチャージ,牡2,55.0,田口,栗東・大橋,差し,3.8,2,3,2歳新馬,38.2,482(-8),阪神,21,中2週,Y,,1,ウィルテイクチャージ,サウスヴィグラス,,
6,6,ヤマトクオーレ,牡2,52.0,森田,栗東・安達,追込,301.1,11,7,2歳未勝利,35.5,476(+2),中京,35,中4週,Y,,2,ビッグアーサー,キンシャサノキセキ,,
7,6,シュライアハフト,牡2,51.0,河原田,栗東・小栗,先行,106.4,10,6,2歳未勝利,40.2,492(+6),阪神,13,中1週,Y,,2,シャンハイボビー,ダイワメジャー,,
8,7,テーオーダーウィン,牡2,55.0,松山,栗東・岡田,逃げ,5.2,3,4,2歳新馬,41.8,476(-10),中京,35,中4週,Y,,1,ルヴァンスレーヴ,ゴールドアリュール,,
9,7,ウィザードシチー,牡2,55.0,亀田,栗東・北出,差し,49.9,7,3,2歳未勝利,39.3,454(0),阪神,13,中1週,Y,,2,チュウワウィザード,ヘニーヒューズ,,
10,8,スカイメテオ,牡2,55.0,菱田,栗東・小椋,,1.7,1,2,2歳新馬,38.2,490(+6),阪神,21,中2週,Y,,1,マテラスカイ,アグネスタキオン,,
11,8,ユイリノベーション,牡2,55.0,藤懸,栗東・平田,追込,21.6,5,7,2歳未勝利,35.6,464(0),小倉,77,中10週,Y,,2,デクラレーションオブウォー,ダイワメジャー,,
