馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エコロマーベリック,セ5,草野,美浦・岩戸,差し,62.1,13,12,,13.3,502(+12),新潟,28,中3週,Y,,3,ハーツクライ,Ghostzapper,,
2,2,スズカキング,牡8,石神深,栗東・谷,先行,35.0,9,6,,13.3,456(+2),中京,35,中4週,Y,,3,キズナ,Numerous,,
3,3,フォージドブリック,牡4,大江圭,美浦・西田,差し,14.7,5,6,,13.4,550(+12),東京,91,中12週,Y,,3,ブリックスアンドモルタル,クロフネ,,
4,4,シゲルタヌキ,牡6,小坂,栗東・谷,先行,49.8,11,1,障害3歳以上未勝利,13.6,486(-12),小倉,440,中62週,Y,Y,3,ビッグアーサー,ファスリエフ,,
5,4,クラップサンダー,牡6,黒岩,栗東・牧田,追込,32.0,8,3,,13.2,462(-18),中京,35,中4週,Y,,3,ジャスタウェイ,キングカメハメハ,,
6,5,タマモエース,牡6,小野寺,栗東・宮地,先行,7.5,3,1,障害3歳以上未勝利,13.3,488(+2),中京,48,中6週,Y,,3,ワールドエース,サウスヴィグラス,,
7,5,フェーレンベルク,牡5,高田,美浦・千葉,差し,1.6,1,7,,13.1,482(-2),新潟,28,中3週,Y,,3,エイシンフラッシュ,マツリダゴッホ,,
8,6,アルマーザアミール,牡4,小牧加,栗東・斉藤崇,差し,57.4,12,10,,13.7,504(+6),阪神,84,中11週,Y,,3,サトノダイヤモンド,Awesome of Course,,
9,6,サルサロッサ,牝6,森一,美浦・高柳瑞,先行,40.4,10,,,0.0,454(-2),新潟,14,中1週,Y,,3,エスケンデレヤ,マンハッタンカフェ,,
10,7,ニシノパプルブリリ,牝5,,美浦・加藤和,先行,19.4,6,3,,13.3,488(+4),新潟,14,中1週,Y,,3,ディープブリランテ,アドマイヤオーラ,,
11,7,フリーダムレイン,牡4,中村,栗東・高橋一,,12.6,4,2,,13.6,480(+2),福島,56,中7週,Y,,3,ミッキーアイル,Acatenango,,
12,8,メイショウアツイタ,牡7,難波,栗東・高橋忠,差し,22.6,7,3,,14.1,510(-4),京都,119,中16週,Y,,3,フェノーメノ,Deputy Minister,,
13,8,ケンアンビシャス,牡7,五十嵐,美浦・久保田,差し,6.9,2,1,,13.1,486(+2),中京,35,中4週,Y,,3,トゥザワールド,モルフェデスペクタ,,
