馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ランドブレイブ,牡4,58.0,国分恭,栗東・安達,差し,278.2,14,2,金沢城賞,39.3,484(-8),金沢,11,中1週,,,2,アジアエクスプレス,ブライアンズタイム,,
2,1,ケイアイアマゾン,牡3,55.0,藤懸,栗東・秋山,差し,12.5,5,5,3歳以上1勝クラス,37.8,478(0),阪神,20,中2週,Y,,3,マインドユアビスケッツ,ゴールドアリュール,,
3,2,ビズロード,セ3,55.0,菱田,栗東・小崎,先行,14.3,7,8,3歳以上1勝クラス,37.8,480(+16),小倉,83,中11週,Y,,3,トランセンド,ディープインパクト,,B
4,2,エイシンマールス,牡4,58.0,荻野極,栗東・今野,先行,15.9,8,6,3歳以上1勝クラス,37.7,468(+6),阪神,21,中2週,Y,,3,エイシンヒカリ,ファルブラヴ,,
5,3,シーリュウシー,牡5,58.0,小沢,栗東・岡田,差し,141.7,13,11,3歳以上1勝クラス,43.7,496(-8),札幌,34,中4週,Y,,3,ホッコータルマエ,Bernardini,,B
6,3,サンマルミッション,セ5,58.0,田村,栗東・畑端,差し,334.5,15,12,3歳以上1勝クラス,39.6,444(-4),阪神,6,連闘,Y,,3,タリスマニック,スニッツェル,,B
7,4,ブルーストレイル,牡5,58.0,城戸,栗東・荒川,追込,388.8,16,10,3歳以上1勝クラス,38.0,464(+2),阪神,6,連闘,Y,,3,スマートファルコン,タイキシャトル,,
8,4,ウルフ,牡3,55.0,松本,栗東・渡辺,先行,3.4,1,4,3歳以上1勝クラス,36.7,504(+10),阪神,111,中15週,Y,,3,ナダル,Roman Ruler,,
9,5,モズプリヴェール,牡4,58.0,松山,栗東・森田,差し,21.3,9,7,3歳以上1勝クラス,37.8,486(-2),阪神,6,連闘,Y,,3,モズアスコット,Congrats,,B
10,5,メイショウペイト,牡3,55.0,加藤,栗東・梅田,差し,46.0,11,14,3歳1勝クラス,39.1,530(+8),東京,139,中19週,Y,,3,アメリカンペイトリオット,エンパイアメーカー,,
11,6,ブリオメンテ,牡5,58.0,武豊,栗東・千田,先行,5.2,3,2,3歳以上1勝クラス,36.8,558(-12),札幌,27,中3週,Y,,3,ドゥラメンテ,ストラヴィンスキー,,
12,6,ワルトシュタイン,牡3,55.0,松若,栗東・佐藤悠,,33.3,10,1,3歳未勝利,39.3,488(+6),小倉,77,中10週,Y,,3,マジェスティックウォリアー,スウェプトオーヴァーボード,,B
13,7,ミランド,牡3,55.0,岩田望,栗東・小林,差し,4.4,2,4,3歳以上1勝クラス,37.9,446(0),阪神,20,中2週,Y,,3,ゴールドドリーム,キングカメハメハ,,
14,7,ダノンアンドレ,牡3,55.0,鮫島駿,栗東・高柳大,先行,94.0,12,1,竜頭盃,40.4,442(-5),高知,213,中29週,,Y,1,ダノンキングリー,キングカメハメハ,,
15,8,ララオウ,牝3,52.0,田山,栗東・須貝,逃げ,7.2,4,2,3歳以上1勝クラス,37.3,492(-8),札幌,21,中2週,Y,,3,エタリオウ,ファスリエフ,,
16,8,シオンダンサー,牝3,53.0,北村友,栗東・斉藤崇,,14.2,6,8,3歳以上1勝クラス,39.0,468(+4),東京,97,中13週,Y,,3,ナダル,Orb,,
