登録番号,馬名,性齢,斤量,騎手,厩舎,脚質,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
24,アイムインディ,牝3,54.0,ルメー,美浦・蛯名正,差し,1,3歳以上1勝クラス,35.6,,中山,20,中2週,Y,,3,インディチャンプ,Invincible Spirit,,
12,イゾラフェリーチェ,牝5,56.0,荻野極,美浦・鹿戸,,2,,35.1,,福島,83,中11週,Y,,3,サトノクラウン,ハーツクライ,,
8,ヴィヴァクラウン,牡5,58.0,大野,美浦・杉浦,,4,,33.6,,中山,21,中2週,Y,,3,サトノクラウン,タイキシャトル,,
25,ウィングブルー,牝3,54.0,斎藤,美浦・斎藤誠,先行,1,3歳以上1勝クラス,35.0,,札幌,20,中2週,Y,,3,アドマイヤマーズ,Anabaa,,
27,ウチュウノセカイ,牡3,56.0,秋山稔,美浦・青木,先行,13,,33.5,,中山,21,中2週,Y,,3,タワーオブロンドン,ローレルゲレイロ,,
21,カガラプンツェル,牝3,54.0,原田和,美浦・萱野,先行,7,,34.9,,札幌,27,中3週,Y,,3,タワーオブロンドン,ダイワメジャー,,
28,ガラベイヤ,牝3,54.0,石川,美浦・加藤士,差し,3,,33.5,,福島,69,中9週,Y,,3,アルアイン,Dubawi,,
10,サクセスカラー,牝5,56.0,田辺,美浦・久保田,,6,,33.1,,中山,21,中2週,Y,,3,ロジャーバローズ,Frankel,,
1,ジャガード,牡8,58.0,石神道,美浦・和田雄,,9,,33.1,,中山,21,中2週,Y,,3,トーセンラー,フレンチデピュティ,,
6,ジョヴィアン,牡6,58.0,北村宏,栗東・井上,追込,9,,33.1,,東京,112,中15週,Y,,3,Justify,マジェスティックウォリアー,,
18,スミッコディスコ,牡3,56.0,横山和,美浦・鈴木慎,,1,,34.4,,函館,98,中13週,Y,,3,ダノンプレミアム,Into Mischief,,
5,スムースベルベット,牝6,56.0,,美浦・手塚徳,先行,13,,35.7,,札幌,21,中2週,Y,,3,ディスクリートキャット,サウスヴィグラス,,
4,セレッソデアモール,牝6,56.0,田口,栗東・庄野,先行,4,,34.1,,京都,259,中36週,Y,Y,3,リオンディーズ,アドマイヤコジーン,,
16,タマカヅラ,牝4,56.0,小林美,美浦・斎藤誠,先行,16,,36.3,,新潟,126,中17週,Y,,3,フィエールマン,ダイワメジャー,,
15,ダンケルド,セ4,58.0,杉原,美浦・森一,先行,4,,34.3,,福島,69,中9週,Y,,3,ミッキーアイル,Firebreak,,
26,デンプシー,牡3,56.0,横山和,美浦・上原佑,先行,5,,35.3,,札幌,27,中3週,Y,,3,ビッグアーサー,マルカシェンク,,
19,トラスコンガーデン,牝3,54.0,江田照,美浦・竹内,差し,5,,33.5,,中山,21,中2週,Y,,3,ダノンスマッシュ,Bernardini,,
9,ドリーミングアップ,牡5,58.0,横山武,美浦・高橋文,差し,3,,33.1,,中山,21,中2週,Y,,3,エピファネイア,ディープインパクト,,
2,バシレウスシチー,牡7,58.0,小沢,栗東・岡田,,13,,35.2,,札幌,27,中3週,Y,,3,ビッグアーサー,ディープインパクト,,
17,パーティーガール,牝4,56.0,木幡巧,美浦・伊藤伸,,8,,34.0,,中山,21,中2週,Y,,3,ホッコータルマエ,クロフネ,,
13,ピコアーガイル,牡5,58.0,横山和,美浦・伊藤大,先行,2,,34.8,,函館,77,中10週,Y,,3,Justify,Lonhro,,
7,ビッグフラワー,牡5,58.0,西村淳,美浦・加藤征,差し,6,3歳以上1勝クラス,34.4,,福島,76,中10週,Y,,3,ビッグアーサー,ハーツクライ,,
14,ビービーエフォート,牝4,56.0,鮫島駿,美浦・高柳瑞,差し,3,,34.8,,札幌,21,中2週,Y,,3,グレーターロンドン,シンボリクリスエス,,
3,マイネルラッシュ,牡6,58.0,木幡巧,美浦・水野,追込,6,,36.0,,新潟,62,中8週,Y,,3,ダイワメジャー,バゴ,,
22,メローネ,牝3,54.0,松若,栗東・西園翔,,12,,35.8,,小倉,77,中10週,Y,,3,ビッグアーサー,オルフェーヴル,,
20,ルージュブリッツ,牝3,54.0,津村,美浦・古賀慎,先行,14,,35.2,,福島,69,中9週,Y,,3,エイシンフラッシュ,ディープインパクト,,
23,レオアジャイル,牝3,54.0,大野,美浦・杉浦,先行,1,3歳以上1勝クラス,34.2,,函館,90,中12週,Y,,3,ダノンスマッシュ,ステイゴールド,,
11,レザンノワール,牡5,58.0,丹内,美浦・伊藤圭,,3,,34.5,,函館,98,中13週,Y,,3,シルバーステート,スペシャルウィーク,,
