券種,組み合わせ,配当,人気
単勝,5,1640,7
複勝,5,440,7
複勝,4,180,2
複勝,2,1080,8
馬連,4-5,2890,12
ワイド,4-5,1110,14
ワイド,2-5,2860,23
ワイド,2-4,3480,24
馬単,5-4,8060,34
3連複,2-4-5,24940,45
3連単,5-4-2,156360,257
