コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"(*1,15)9,7,16(8,14)11(2,5,12)6=4-13-10=3"
4コーナー,"(*1,15)9,7(8,16)14,11,12(5,6)2=4-13=10=3"
