馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アイアムユウシュン,牡5,54.0,長浜,美浦・奥平,先行,9.3,4,9,,36.6,,福島,85,中11週,Y,,3,ヘニーヒューズ,アグネスタキオン,,B
2,1,ローズカリス,牝3,52.0,小林美,栗東・大橋,,6.5,2,1,,34.2,,小倉,85,中11週,Y,,3,カリフォルニアクローム,ヘニーヒューズ,,
3,2,ソウルオンファイア,牝3,52.0,富田,栗東・野中,差し,19.2,11,1,,36.1,,新潟,63,中8週,Y,,3,パイロ,Invincible Spirit,,
4,2,イノセントキャット,牝5,54.0,横山武,美浦・久保田,差し,13.5,9,2,,36.3,,新潟,43,中5週,Y,,3,シュヴァルグラン,キングカメハメハ,,
5,3,コパノヴィンセント,牡4,54.0,柴田大,美浦・上原博,先行,19.7,12,8,,37.1,,中山,14,中1週,Y,,3,コパノリッキー,スターリングローズ,,
6,3,キタノソワレ,牝5,54.0,木幡巧,美浦・本間,差し,22.3,13,4,,36.4,,福島,155,中21週,Y,,3,トゥザワールド,フレンチデピュティ,,
7,4,マーゴットゲイン,牡4,56.0,荻野極,美浦・伊坂,差し,9.9,5,1,3歳以上2勝クラス,35.8,,新潟,49,中6週,Y,,3,マインドユアビスケッツ,ステイゴールド,,B
8,4,スプランドゥール,牡5,54.0,石神道,美浦・和田雄,差し,59.7,16,6,,36.2,,中山,14,中1週,Y,,3,シルバーステート,サクラバクシンオー,,
9,5,ワンダラー,牡4,57.0,丹内,美浦・黒岩,差し,5.7,1,2,,36.0,,中山,14,中1週,Y,,3,マクフィ,ルーラーシップ,,
10,5,カネショウレジェン,牡4,55.0,坂井,美浦・稲垣,差し,11.1,6,5,,35.6,,福島,85,中11週,Y,,3,ダノンレジェンド,フレンチデピュティ,,
11,6,ホワイトガーベラ,牡7,53.0,内田博,美浦・千葉,差し,32.9,14,15,,39.9,,中京,57,中7週,Y,,3,アジアエクスプレス,スウェプトオーヴァーボード,,
12,6,ボディブロー,牡5,55.0,戸崎圭,栗東・森秀,差し,12.8,8,7,,35.6,,阪神,21,中2週,Y,,3,City of Light,Bernstein,,
13,7,ライトニングゼウス,牡5,54.0,西村淳,美浦・伊藤圭,先行,8.9,3,11,,36.8,,新潟,43,中5週,Y,,3,ダンカーク,サクラバクシンオー,,B
14,7,クリノオリーブ,牝5,52.0,,栗東・谷,先行,16.2,10,4,,35.8,,阪神,21,中2週,Y,,3,ニューイヤーズデイ,ダイワメジャー,,
15,8,ランウインディ,牝5,52.0,横山琉,栗東・中尾,先行,54.3,15,12,,36.6,,阪神,21,中2週,Y,,3,エスポワールシチー,ベーカバド,,
16,8,ポッドソル,牡4,55.0,丸山,美浦・手塚徳,逃げ,11.1,7,4,,37.4,,中山,14,中1週,Y,,3,オルフェーヴル,Speightstown,,B
