馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ドンインザムード,牡3,松山,栗東・今野,先行,55.7,8,6,,39.5,510(+2),京都,64,中8週,Y,,2,アジアエクスプレス,アグネスタキオン,,
2,2,ドゥラリス,牝3,川田,栗東・吉岡,先行,33.0,6,1,2歳未勝利,37.4,502(-2),京都,22,中2週,Y,,2,ドゥラメンテ,ヴィクトワールピサ,,
3,3,シュラザック,牡3,古川吉,栗東・大根田,先行,326.7,11,1,2歳未勝利,38.6,486(+16),京都,93,中12週,Y,,2,モーニン,ベーカバド,,
4,4,ヒフミバンダム,セ3,吉村,栗東・小栗,先行,401.0,12,1,2歳未勝利,39.0,468(-4),京都,23,中2週,Y,,3,サンダースノー,ゼンノロブロイ,,
5,5,ラマンシュ,牡3,,栗東・音無,先行,219.0,10,1,2歳未勝利,38.6,418(0),京都,29,中3週,Y,,3,トーセンラー,Saint Liam,,
6,5,チュウジョウ,牡3,Ｍデム,栗東・杉山佳,先行,31.0,5,1,2歳未勝利,37.3,500(0),京都,50,中6週,Y,,3,アドマイヤマーズ,ホワイトマズル,,
7,6,メイショウハチロー,牡3,団野,栗東・福永,先行,39.3,7,5,,36.5,508(+6),東京,84,中11週,Y,,3,シニスターミニスター,ダイワメジャー,,
8,6,ナルカミ,牡3,坂井,栗東・坂口,逃げ,1.1,1,1,2歳新馬,36.3,502(+2),京都,58,中7週,Y,,1,サンダースノー,ディープインパクト,,
9,7,シンビリーブ,牡3,武豊,栗東・森秀,先行,18.1,3,10,,,,デルマー,65,中8週,,,1,Constitution,Footstepsinthesand,,
10,7,ロードラビリンス,牡3,西村淳,栗東・松下,,11.9,2,2,,37.7,488(+6),京都,64,中8週,Y,,3,ミッキーアイル,ロードカナロア,,
11,8,ベイラム,牡3,岩田望,栗東・武英,逃げ,99.8,9,1,2歳未勝利,38.7,440(+2),京都,51,中6週,Y,,2,サートゥルナーリア,Sligo Bay,,
12,8,ゴールデンクラウド,牡3,鮫島駿,栗東・小林,先行,30.5,4,1,2歳新馬,37.7,518(-8),京都,71,中9週,Y,,1,Cloud Computing,Medaglia d'Oro,,
