馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,テンハッピー,牡2,55.0,鮫島駿,栗東・河嶋,,61.9,13,,,,484(0),,,,,,,ジャンダルム,Storm Cat,,
2,2,ギブリ,牡2,55.0,横山典,栗東・松永幹,,27.9,10,,,,466(0),,,,,,,ニューイヤーズデイ,ステイゴールド,,
3,2,ルージュラボルタ,牝2,55.0,松山,栗東・辻野,,17.0,8,,,,426(0),,,,,,,ブリックスアンドモルタル,エンパイアメーカー,,
4,3,ゴウオン,牡2,55.0,岩田望,栗東・千田,,20.4,9,,,,430(0),,,,,,,モーリス,ストーミングホーム,,
5,3,カフジカニステル,牡2,55.0,古川吉,栗東・中竹,,83.7,14,,,,438(0),,,,,,,シルバーステート,キングカメハメハ,,
6,4,ブラスバンド,牡2,55.0,坂井,栗東・前川,,16.2,7,,,,442(0),,,,,,,レイデオロ,オルフェーヴル,,
7,4,レクリドジョワ,牝2,54.0,田山,栗東・新谷,,5.1,2,,,,448(0),,,,,,,Epicenter,Speightstown,,
8,5,ウォーターケプリ,牡2,55.0,,栗東・藤野,,11.2,6,,,,456(0),,,,,,,サートゥルナーリア,Distorted Humor,,
9,5,ポエジア,牝2,55.0,武豊,栗東・西園翔,,9.6,5,,,,476(0),,,,,,,ドレフォン,ハーツクライ,,
10,6,フライウィズユー,牝2,55.0,Ｍデム,栗東・加藤公,,5.7,3,,,,456(0),,,,,,,シスキン,ウォーエンブレム,,
11,6,ロックウイズミー,牡2,55.0,国分恭,栗東・緒方,,94.1,15,,,,456(0),,,,,,,アドマイヤマーズ,コマンズ,,
12,7,モンサンラパージュ,牝2,55.0,吉村,栗東・清水久,,57.6,12,,,,464(0),,,,,,,シャンハイボビー,シニスターミニスター,,
13,7,ヒノトリ,牝2,55.0,斎藤,栗東・高橋康,,6.7,4,,,,440(0),,,,,,,サートゥルナーリア,ステイゴールド,,
14,8,フィオッコローザ,牝2,55.0,高杉,栗東・西村,,3.9,1,,,,464(0),,,,,,,モーリス,ジャスタウェイ,,
15,8,ランゲ,牝2,55.0,富田,栗東・石橋,,35.4,11,,,,454(0),,,,,,,サリオス,ドゥラメンテ,,
