馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,フミサウンド,牡6,58.0,,美浦・鹿戸,差し,12.4,6,8,,35.1,,札幌,23,中2週,Y,,3,ジャスタウェイ,Redoute's Choice,,
2,2,レッドレナート,牡5,58.0,横山和,美浦・手塚徳,先行,6.7,5,8,,34.3,,東京,115,中15週,Y,,3,レッドファルクス,ダイワメジャー,,
3,3,ジャルディニエ,牝4,56.0,斎藤,栗東・奥村豊,差し,32.7,9,12,,36.3,,札幌,16,中1週,Y,,3,アドマイヤマーズ,Wildcat Heir,,
4,4,エリム,牝6,56.0,原田和,美浦・上原博,差し,58.4,10,6,,35.1,,中山,10,連闘,Y,,3,ダイワメジャー,Kalatos,,
5,5,デイトナチャンプ,牡3,56.0,横山武,美浦・加藤征,先行,3.9,2,1,3歳以上1勝クラス,34.5,,札幌,58,中7週,Y,,3,インディチャンプ,ジャングルポケット,,
6,6,セブンマイスター,牡5,58.0,佐々木,美浦・千葉,先行,12.9,7,10,,33.8,,中京,30,中3週,Y,,3,ドレフォン,メイショウサムソン,,
7,6,アロンソア,牡3,56.0,川又,栗東・牧田,差し,6.5,4,12,,33.9,,中京,30,中3週,Y,,3,インディチャンプ,バゴ,,
8,7,ロゼル,牡6,58.0,丸山,美浦・大和田,,18.4,8,8,,36.2,,福島,79,中10週,Y,,3,シルバーステート,タイキシャトル,,B
9,7,アルデトップガン,牡3,56.0,丹内,美浦・田中剛,追込,6.3,3,3,,34.0,,札幌,58,中7週,Y,,3,ナダル,ゴールドアリュール,,
10,8,サヴァビアン,牡8,58.0,菊沢,美浦・新開,差し,67.7,11,13,,33.4,,中京,24,中2週,Y,,3,カレンブラックヒル,フサイチコンコルド,,
11,8,プリムツァール,牝4,56.0,田辺,美浦・蛯名正,先行,3.7,1,2,4歳以上2勝クラス,34.9,,中山,170,中23週,Y,,3,イスラボニータ,Footstepsinthesand,,
