券種,組み合わせ,配当,人気
単勝,8,1630,5
複勝,8,1020,5
複勝,10,520,2
複勝,9,8030,12
枠連,6-7,3650,10
馬連,8-10,4130,12
ワイド,8-10,840,10
ワイド,8-9,18550,52
ワイド,9-10,10490,45
馬単,8-10,8450,23
3連複,8-9-10,171080,124
3連単,8-10-9,1006540,571
