券種,組み合わせ,配当,人気
単勝,14,1480,6
複勝,14,490,8
複勝,12,320,5
複勝,1,190,2
枠連,6-7,3980,17
馬連,12-14,5940,23
ワイド,12-14,2010,25
ワイド,1-14,1740,20
ワイド,1-12,1030,6
馬単,14-12,10900,44
3連複,1-12-14,12980,37
3連単,14-12-1,98360,327
