券種,組み合わせ,配当,人気
単勝,2,240,1
複勝,2,110,1
複勝,1,120,2
複勝,3,150,4
枠連,1-2,420,1
馬連,1-2,380,1
ワイド,1-2,180,1
ワイド,2-3,240,2
ワイド,1-3,340,4
馬単,2-1,720,1
3連複,1-2-3,620,1
3連単,2-1-3,2140,1
