券種,組み合わせ,配当,人気
単勝,6,6590,12
複勝,6,1180,11
複勝,13,270,4
複勝,10,2850,15
枠連,3-7,6880,28
馬連,6-13,23510,55
ワイド,6-13,4470,45
ワイド,6-10,35250,107
ワイド,10-13,12060,79
馬単,6-13,62060,127
3連複,6-10-13,444280,407
3連単,6-13-10,2581850,389
