券種,組み合わせ,配当,人気
単勝,4,510,2
複勝,4,190,2
複勝,8,210,3
複勝,3,290,7
枠連,4-7,1000,2
馬連,4-8,1480,4
ワイド,4-8,570,3
ワイド,3-4,1170,19
ワイド,3-8,1140,17
馬単,4-8,3030,7
3連複,3-4-8,6120,26
3連単,4-8-3,24640,83
