券種,組み合わせ,配当,人気
単勝,2,1810,7
複勝,2,460,7
複勝,14,340,5
複勝,11,870,12
枠連,2-8,850,3
馬連,2-14,9850,37
ワイド,2-14,3110,41
ワイド,2-11,8530,72
ワイド,11-14,6400,63
馬単,2-14,20010,72
3連複,2-11-14,170470,271
3連単,2-14-11,922210,514
