券種,組み合わせ,配当,人気
単勝,11,1220,5
複勝,11,300,5
複勝,2,250,3
複勝,10,170,2
枠連,1-6,5170,18
馬連,2-11,6610,24
ワイド,2-11,1840,21
ワイド,10-11,940,9
ワイド,2-10,790,8
馬単,11-2,14580,48
3連複,2-10-11,9470,32
3連単,11-2-10,81570,248
