券種,組み合わせ,配当,人気
単勝,2,660,4
複勝,2,250,4
複勝,7,210,3
複勝,14,440,6
枠連,1-4,1580,8
馬連,2-7,2200,6
ワイド,2-7,830,6
ワイド,2-14,1960,22
ワイド,7-14,1740,15
馬単,2-7,3940,12
3連複,2-7-14,10900,34
3連単,2-7-14,41950,113
