馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ロードリレーション,牡3,57.0,坂井,栗東・辻野,,6.1,2,4,2歳未勝利,39.6,458(0),阪神,28,中3週,Y,,3,キズナ,Galileo,,
2,2,ヒロアプリオリ,牡3,57.0,小崎,栗東・川村,差し,658.3,13,15,2歳未勝利,35.0,444(0),阪神,20,中2週,Y,,3,サンダースノー,ディープインパクト,,
3,3,キャピタルサックス,牡3,57.0,松山,栗東・杉山晴,先行,1.3,1,2,2歳未勝利,36.8,502(0),阪神,21,中2週,Y,,3,リオンディーズ,クロフネ,,
4,3,サンダーバース,牡3,57.0,岩田望,栗東・高柳大,先行,14.5,4,5,2歳未勝利,39.8,496(+12),京都,83,中11週,Y,,2,サンダースノー,リキアイサイレンス,,
5,4,レッドクレメンス,牡3,57.0,北村友,栗東・安田隆,先行,59.8,9,10,2歳新馬,36.2,484(+2),阪神,21,中2週,Y,,1,ブリックスアンドモルタル,ローエングリン,,
6,4,グランドセントラル,牡3,57.0,池添,栗東・北出,先行,46.2,8,5,2歳未勝利,38.4,464(-4),阪神,21,中2週,Y,,2,シャンハイボビー,タイキシャトル,,
7,5,メイショウタダカツ,牡3,57.0,加藤,栗東・庄野,差し,34.0,7,6,2歳未勝利,40.0,440(0),中京,27,中3週,Y,,3,スワーヴリチャード,タニノギムレット,,
8,5,ヘニーズネフュー,牡3,55.0,田口,栗東・橋口,先行,20.5,5,11,2歳未勝利,35.4,472(+8),京都,62,中8週,Y,,2,キズナ,Henrythenavigator,,
9,6,エレガントフルール,牝3,55.0,水口,栗東・羽月,差し,689.1,14,13,2歳未勝利,41.1,428(-10),中京,27,中3週,Y,,3,ヴィクトワールピサ,アドマイヤムーン,,B
10,6,ウインアルドーレ,牡3,57.0,Ａルメ,栗東・西園翔,差し,93.7,11,10,2歳未勝利,41.4,474(+6),阪神,27,中3週,Y,,3,ビーチパトロール,フレンチデピュティ,,B
11,7,クリノアチーバー,牡3,57.0,和田竜,栗東・高橋忠,差し,165.9,12,9,2歳未勝利,38.2,488(+10),東京,63,中8週,Y,,2,ニューイヤーズデイ,ハーツクライ,,
12,7,ウォーターアレ,牡3,56.0,角田河,栗東・庄野,,71.2,10,,,,472(0),,,,,,,ウォーターリーグ,ロードカナロア,,
13,8,アストラカ,牡3,57.0,団野,栗東・田中克,差し,11.7,3,6,2歳未勝利,38.3,502(+2),東京,69,中9週,Y,,2,ドレフォン,ダイワメジャー,,
14,8,ストレングス,牡3,57.0,松若,栗東・寺島,,23.0,6,,,,470(0),,,,,,,シニスターミニスター,ゴールドアリュール,,
