券種,組み合わせ,配当,人気
単勝,4,1430,8
複勝,4,400,8
複勝,10,200,1
複勝,3,350,6
枠連,3-6,1940,8
馬連,4-10,2690,7
ワイド,4-10,990,8
ワイド,3-4,1860,25
ワイド,3-10,1050,10
馬単,4-10,6250,23
3連複,3-4-10,8630,25
3連単,4-10-3,52690,158
