馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ロブチェン,牡3,松山,栗東・杉山晴,,1.4,1,1,,33.2,,東京,113,中15週,Y,,3,ワールドプレミア,Giant's Causeway,,
2,2,エイシンインアウト,牡3,横山琉,栗東・中尾,差し,15.2,6,1,,33.9,,札幌,29,中3週,Y,,3,サトノダイヤモンド,Whipper,,
3,3,ゴーラッキー,牡3,ルメー,美浦・黒岩,差し,12.7,4,1,,34.4,,東京,106,中14週,Y,,3,キタサンブラック,Fast Company,,
4,4,アルトラムス,牡3,岩田望,栗東・野中,差し,12.6,3,6,,33.1,,東京,113,中15週,Y,,3,イスラボニータ,スクリーンヒーロー,,
5,5,カムアップローゼス,牡3,北村友,栗東・浜田,差し,53.2,10,1,,34.9,,函館,85,中11週,Y,,3,リオンディーズ,マンハッタンカフェ,,
6,6,エムズビギン,牡3,武豊,栗東・友道,先行,29.6,8,14,,34.7,,東京,113,中15週,Y,,3,キタサンブラック,Galileo,,
7,6,コンジェスタス,牡3,西村淳,栗東・高野,差し,13.2,5,9,,33.6,,東京,113,中15週,Y,,3,コントレイル,Alamosa,,
8,7,シートゥサミット,牡3,酒井,栗東・吉岡,差し,66.6,11,2,3歳以上1勝クラス,35.4,,阪神,93,中12週,Y,,3,モーリス,ディスクリートキャット,,
9,7,グリーンエナジー,牡3,戸崎圭,美浦・上原佑,差し,7.4,2,16,,34.4,,東京,113,中15週,Y,,3,スワーヴリチャード,シングスピール,,
10,8,カフジエメンタール,牡3,坂井,栗東・矢作,先行,32.8,9,1,,33.8,,中京,22,中2週,Y,,3,ポエティックフレア,キングカメハメハ,,
11,8,ショウナンハヤナミ,牡3,池添,栗東・渡辺,差し,27.1,7,1,,34.5,,京都,240,中33週,Y,Y,2,レイデオロ,ディープインパクト,,
