券種,組み合わせ,配当,人気
単勝,5,420,3
複勝,5,160,3
複勝,9,190,4
複勝,10,130,1
枠連,4-6,360,1
馬連,5-9,1550,6
ワイド,5-9,580,6
ワイド,5-10,290,2
ワイド,9-10,400,3
馬単,5-9,2490,9
3連複,5-9-10,1490,3
3連単,5-9-10,8050,15
