コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"4,7(1,11)(10,16)8(13,12)(3,5,9)6(2,15,14)"
4コーナー,"4,7(1,11)10(13,16,8)(3,12)15(5,9)(6,14)2"
