券種,組み合わせ,配当,人気
単勝,8,540,2
複勝,8,170,2
複勝,10,270,6
複勝,12,240,5
枠連,4-5,690,1
馬連,8-10,1940,7
ワイド,8-10,710,7
ワイド,8-12,760,11
ワイド,10-12,1340,15
馬単,8-10,3940,15
3連複,8-10-12,5110,17
3連単,8-10-12,25440,82
