馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,マテンロウノカゼ,牡4,森一,栗東・昆,先行,8.6,4,9,障害3歳以上未勝利,13.3,486(+2),福島,20,中2週,Y,,3,ドゥラメンテ,キングヘイロー,,
2,2,デザートスター,セ6,小牧加,栗東・笹田,先行,5.1,2,11,障害3歳以上未勝利,14.9,464(-10),阪神,189,中26週,Y,Y,3,サトノアラジン,ジャングルポケット,,
3,3,ピコイチ,牡4,坂口,美浦・尾形,差し,135.6,14,14,障害3歳以上未勝利,14.2,496(-10),東京,70,中9週,Y,,1,ヘニーヒューズ,キングカメハメハ,,
4,3,シュバルツガイスト,牡5,,美浦・国枝,差し,33.7,7,9,障害3歳以上未勝利,13.8,508(+12),中山,78,中10週,Y,,3,キタサンブラック,Invincible Spirit,,
5,4,ストラクチャー,セ4,草野,美浦・和田郎,追込,52.7,8,7,障害3歳以上未勝利,13.8,470(+24),京都,63,中8週,Y,,3,リアルスティール,マンハッタンカフェ,,
6,4,アバットゥータ,牡3,井上,栗東・中竹,差し,118.3,13,10,3歳未勝利,37.8,474(-4),中京,127,中17週,Y,,3,ハービンジャー,キングカメハメハ,,
7,5,ゴールデンスロープ,セ4,大江圭,美浦・小笠,,1.9,1,2,障害3歳以上未勝利,13.1,448(+8),福島,28,中3週,Y,,3,ゴールドシップ,ティンバーカントリー,,
8,5,アドアプローズ,牡4,上野,美浦・小手川,差し,87.7,10,7,3歳以上1勝クラス,36.0,480(+2),福島,20,中2週,Y,,2,ジャングルポケット,キングカメハメハ,,
9,6,ゴールデンステップ,牝4,金子,美浦・和田勇,差し,6.8,3,4,障害3歳以上未勝利,13.8,494(+4),中山,78,中10週,Y,,3,ブリックスアンドモルタル,トーセンダンス,,
10,6,クラウングスタフ,牡4,中村,美浦・水野,先行,99.2,12,9,3歳以上1勝クラス,37.2,520(+8),東京,29,中3週,Y,,3,レイデオロ,ロサード,,
11,7,リードアクトレス,牝4,小野寺,栗東・安達,差し,18.7,6,4,障害3歳以上未勝利,14.0,492(-2),京都,42,中5週,Y,,3,マジェスティックウォリアー,シンボリクリスエス,,
12,7,デスティネ,牡8,江田勇,美浦・萱野,差し,54.0,9,6,障害3歳以上未勝利,13.2,488(+6),福島,20,中2週,Y,,3,リアルインパクト,ミシル,,
13,8,トリップトゥムーン,牡6,石神深,美浦・粕谷,追込,96.7,11,9,障害3歳以上未勝利,14.5,470(+6),福島,28,中3週,Y,,3,アドマイヤムーン,ネオユニヴァース,,
14,8,タガノバルコス,牡6,高田,栗東・秋山,追込,9.0,5,5,障害3歳以上未勝利,13.8,482(0),中山,99,中13週,Y,,3,キタサンブラック,キングカメハメハ,,
