券種,組み合わせ,配当,人気
単勝,9,280,2
複勝,9,150,1
複勝,10,170,3
複勝,14,310,6
枠連,6-6,760,3
馬連,9-10,810,3
ワイド,9-10,320,2
ワイド,9-14,1070,12
ワイド,10-14,810,10
馬単,9-10,1210,3
3連複,9-10-14,3730,9
3連単,9-10-14,10700,28
