コーナー,通過順
1コーナー,"3,4,5(9,14)15,6(10,13)16-12(8,11)-2-1-7"
2コーナー,"3,4,5(9,14)-15(6,13)(10,16)8(12,11)-(2,1)-7"
3コーナー,"(3,*4,5)(9,14)15(10,13)(6,16)8(12,11,1)2-7"
4コーナー,"(*4,5,14,15,13)(9,10,16)(3,8,6)1(12,11)(2,7)"
