馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ジューンアヲニヨシ,牡6,57.0,富田,栗東・松下,先行,16.1,6,11,,39.0,496(+6),京都,126,中17週,Y,,3,キズナ,ノボジャック,,
2,1,ゼットリアン,牡6,57.0,松若,栗東・吉田,差し,21.8,10,2,,37.0,440(-4),中京,55,中7週,Y,,3,モーリス,ネオユニヴァース,,
3,2,メイショウズイウン,牡4,57.0,石橋脩,栗東・本田,,17.5,9,1,,38.3,494(+4),新潟,28,中3週,Y,,3,ホッコータルマエ,エンパイアメーカー,,B
4,2,ダイシンピスケス,牡8,55.0,松本,栗東・森秀,先行,165.5,16,13,,37.1,508(-10),東京,146,中20週,Y,,3,マジェスティックウォリアー,アグネスタキオン,,
5,3,ハピ,牡7,57.5,,栗東・大久保,差し,24.2,12,4,,38.3,482(-4),中京,34,中4週,Y,,3,キズナ,キングカメハメハ,,
6,3,ギュルヴィ,牡4,57.0,武豊,栗東・大久保,先行,4.5,2,3,,37.0,516(-6),盛岡,68,中9週,,,2,Nyquist,Tapit,,
7,4,ミッキークレスト,牡5,55.0,酒井,栗東・大久保,差し,70.1,15,7,,38.2,516(0),中京,34,中4週,Y,,3,ジャスタウェイ,Shackleford,,B
8,4,ダブルジョーク,牡6,55.0,池添,栗東・小林,追込,17.0,8,1,,35.6,578(+8),阪神,167,中23週,Y,,3,Practical Joke,Rahy,,
9,5,ルシュヴァルドール,牡5,57.0,坂井,栗東・矢作,差し,24.3,13,15,,38.1,542(+2),阪神,161,中22週,Y,,3,リアルスティール,Sightseeing,,B
10,5,サイモンザナドゥ,牡6,56.0,川田,栗東・小林,差し,7.1,3,3,,37.5,478(0),中京,55,中7週,Y,,3,アジアエクスプレス,アグネスデジタル,,
11,6,ヴァルツァーシャル,牡7,58.5,斎藤,美浦・高木,差し,14.7,5,5,,38.0,506(+6),札幌,49,中6週,Y,,3,マクフィ,エンパイアメーカー,,
12,6,マイノワール,牡5,55.0,浜中,栗東・笹田,差し,16.8,7,1,,36.5,476(-2),京都,154,中21週,Y,,3,マインドユアビスケッツ,ハービンジャー,,
13,7,ラムジェット,牡5,59.0,三浦,栗東・松永幹,差し,3.6,1,5,,36.8,532(+1),大井,87,中11週,,,2,マジェスティックウォリアー,ゴールドアリュール,,B
14,7,リアレスト,牡5,57.0,荻野極,美浦・尾関,差し,11.7,4,1,,34.9,528(-6),東京,98,中13週,Y,,3,リアルスティール,ワークフォース,,B
15,8,カズタンジャー,牡5,58.0,西村淳,栗東・新谷,追込,24.0,11,4,,37.6,508(0),新潟,28,中3週,Y,,1,ドレフォン,アサクサキングス,,B
16,8,オニャンコポン,セ7,54.0,Ｍデム,美浦・小島,差し,31.8,14,15,,37.2,466(+4),札幌,41,中5週,Y,,3,エイシンフラッシュ,ヴィクトワールピサ,,
