コーナー,通過順
1コーナー,"14,15(9,16)11(2,12)3,4-6,13,8(1,7,10)5"
2コーナー,"14,15(9,16)11(2,12)(3,4)-6-(1,13,7)10,8,5"
3コーナー,"(*14,15)16(9,11,4)12,2,6,3,1,7(5,10)-(13,8)"
4コーナー,"(14,*15,16)(11,4)12,9,6(2,1)10,3(5,7)=(13,8)"
