馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,コレクテイニア,牡6,草野,美浦・戸田,逃げ,20.9,7,1,障害4歳以上未勝利,13.5,472(-2),中山,49,中6週,Y,,3,Collected,Kitten's Joy,,
2,2,アルカンサス,牡7,土田,美浦・田中勝,差し,111.3,12,1,障害4歳以上未勝利,13.7,484(0),小倉,20,中2週,Y,,3,シルバーステート,Orientate,,B
3,3,メイショウソムリエ,セ5,大江圭,美浦・蛯名正,差し,52.6,9,1,障害4歳以上未勝利,13.7,506(0),小倉,28,中3週,Y,,3,サトノダイヤモンド,Storm Cat,,
4,3,プラチナドリーム,牡7,石神深,美浦・菊川,先行,12.6,5,5,,14.1,490(+6),中山,70,中9週,Y,,3,ホッコータルマエ,シンボリクリスエス,,B
5,4,キングサーガ,セ9,小野寺,栗東・小栗,差し,12.9,6,4,,13.8,500(-2),阪神,77,中10週,Y,,3,キングカメハメハ,ディープインパクト,,
6,4,インディゴブラック,セ7,小坂,栗東・奥村豊,,4.8,2,2,,13.6,524(0),京都,56,中7週,Y,,3,キタサンブラック,Bernardini,,
7,5,ホークフィールド,牡5,高田,栗東・武英,先行,2.0,1,1,,13.3,492(-2),小倉,35,中4週,Y,,3,キズナ,Hawk Wing,,
8,5,マルベリーシチー,牡6,上野,美浦・奥平,,71.0,10,1,障害3歳以上未勝利,13.1,508(+8),福島,105,中14週,Y,,3,サトノアラジン,キングカメハメハ,,
9,6,ヴラディア,牡7,,美浦・松尾,先行,116.4,13,5,,13.7,484(0),京都,56,中7週,Y,,3,ラブリーデイ,マーベラスサンデー,,
10,6,アスクオンディープ,セ7,小牧加,栗東・前川,先行,22.3,8,1,障害4歳以上未勝利,13.4,490(-2),中山,48,中6週,Y,,3,ディープインパクト,Curlin,,
11,7,コンテナワールド,牡5,井上,栗東・中竹,逃げ,9.9,4,1,,13.5,488(+8),中山,61,中8週,Y,,3,エピファネイア,アグネスタキオン,,
12,7,クラウンセト,牡7,江田勇,美浦・本間,差し,251.6,14,9,,13.9,474(+4),中山,61,中8週,Y,,3,ストロングリターン,ブラックタイド,,
13,8,アメリカンピース,セ8,黒岩,栗東・東田,先行,101.8,11,3,,13.8,452(+2),阪神,77,中10週,Y,,3,Tapit,Ghostzapper,,
14,8,ロードリベラシオン,牡4,坂口,美浦・尾形,先行,6.6,3,2,,13.3,508(-4),小倉,35,中4週,Y,,3,ダノンバラード,エンパイアメーカー,,
