馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ミクニインスパイア,牡4,丹内,美浦・林,先行,4.0,2,1,,34.2,504(-4),中山,91,中12週,Y,,3,アドマイヤマーズ,ティンバーカントリー,,
2,2,ホールネス,牝6,ディー,栗東・藤原,差し,79.4,14,14,,38.4,538(+4),中京,433,中61週,Y,Y,3,Lope de Vega,Golan,,
3,2,クリスマスパレード,牝5,石川,美浦・加藤士,,38.9,9,16,,35.1,462(-2),小倉,63,中8週,Y,,3,キタサンブラック,Blame,,B
4,3,エヒト,牡9,川田,栗東・森秀,先行,41.4,10,3,,36.6,470(-6),中山,62,中8週,Y,,3,ルーラーシップ,ディープインパクト,,
5,3,アスクナイスショー,牡5,田辺,美浦・中舘,,14.1,6,1,,34.6,502(-6),中山,77,中10週,Y,,3,シルバーステート,アドマイヤムーン,,
6,4,リビアングラス,牡6,三浦,栗東・矢作,先行,46.6,12,6,,34.1,496(+2),京都,41,中5週,Y,,3,キズナ,Curlin,,
7,4,コスモキュランダ,牡5,横山武,美浦・加藤士,,2.8,1,2,,35.5,520(-2),中山,90,中12週,Y,,3,アルアイン,Southern Image,,B
8,5,ホウオウノーサイド,牡7,杉原,美浦・奥村武,差し,352.9,15,14,,35.5,484(-4),中山,62,中8週,Y,,3,キングカメハメハ,ヘクタープロテクター,,B
9,5,マイネルケレリウス,牡6,松岡,美浦・奥村武,追込,41.8,11,4,,33.7,442(+4),京都,69,中9週,Y,,3,ルーラーシップ,アグネスタキオン,,
10,6,シャイニングソード,牡5,西村淳,栗東・中内田,差し,12.4,5,8,,33.4,518(-6),京都,69,中9週,Y,,3,Frankel,Monsun,,
11,6,ミステリーウェイ,セ8,松本,栗東・小林,,24.5,7,16,,36.8,500(0),中山,90,中12週,Y,,3,ジャスタウェイ,High Chaparral,,
12,7,チャックネイト,セ8,大野,美浦・堀,差し,27.8,8,13,,35.3,494(+2),中山,62,中8週,Y,,3,ハーツクライ,Dynaformer,,B
13,7,ブレイヴロッカー,セ6,荻野極,栗東・本田,先行,66.8,13,3,,34.9,458(+8),東京,35,中4週,Y,,3,ドゥラメンテ,Elusive City,,
14,8,ローシャムパーク,牡7,ルメー,美浦・田中博,差し,6.2,3,5,,0.0,506(+8),シャティン,104,中14週,,,2,ハービンジャー,キングカメハメハ,,
15,8,マイユニバース,牡4,横山典,栗東・武幸,差し,7.0,4,1,,35.6,468(-12),中山,20,中2週,Y,,3,レイデオロ,ネオユニヴァース,,
