馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ニシノパプルブリリ,牝5,,美浦・加藤和,先行,18.3,6,2,,13.2,484(-6),福島,56,中7週,Y,,3,ディープブリランテ,アドマイヤオーラ,,
2,2,エンデュミオン,牡8,黒岩,栗東・清水久,先行,5.0,2,2,,12.9,472(0),新潟,28,中3週,Y,,3,ヴィクトワールピサ,ブライアンズタイム,,
3,3,ザスリーサーティ,牡1,坂口,美浦・尾形,,115.6,13,8,,13.5,476(-4),新潟,112,中15週,Y,,3,ステイゴールド,ヘクタープロテクター,,
4,4,メイショウカズサ,牡8,森一,栗東・安達,先行,67.7,11,7,,13.3,476(-4),中京,21,中2週,Y,,3,カジノドライヴ,コロナドズクエスト,,
5,4,テイエムナイスラン,牡6,土田,美浦・石栗,差し,43.9,9,6,,13.7,544(+10),阪神,70,中9週,Y,,3,ジャスタウェイ,シンボリクリスエス,,
6,5,シャンドゥレール,セ5,大江圭,美浦・国枝,差し,29.4,7,4,,13.3,496(+2),福島,56,中7週,Y,,3,エピファネイア,Quality Road,,
7,5,ヒルズカーン,牡5,草野,美浦・松永康,逃げ,36.5,8,7,,13.7,504(+4),阪神,70,中9週,Y,,3,ダノンバラード,オレハマッテルゼ,,
8,6,トゥラッタッタ,牡4,江田勇,美浦・新開,先行,88.1,12,9,,13.0,472(0),新潟,28,中3週,Y,,3,デクラレーションオブウォー,ハーツクライ,,
9,6,アルデドゥオーモ,牡4,金子,美浦・矢野,先行,53.2,10,1,障害3歳以上未勝利,13.2,490(-2),新潟,13,中1週,Y,,3,オルフェーヴル,アグネスタキオン,,
10,7,スズカハービン,牡5,難波,栗東・高橋忠,差し,10.0,4,5,,13.5,470(+10),小倉,49,中6週,Y,,3,ハービンジャー,サンデーサイレンス,,
11,7,サルサロッサ,牝6,井上,美浦・高柳瑞,先行,13.3,5,8,,12.9,456(-6),新潟,28,中3週,Y,,3,エスケンデレヤ,マンハッタンカフェ,,
12,8,プラチナドリーム,牡6,石神深,美浦・菊川,差し,6.4,3,1,,12.8,486(-2),新潟,28,中3週,Y,,3,ホッコータルマエ,シンボリクリスエス,,B
13,8,ルドヴィクス,牡7,小牧加,美浦・久保田,先行,1.8,1,1,障害3歳以上未勝利,13.0,518(+2),新潟,27,中3週,Y,,3,モーリス,シンボリクリスエス,,
