着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,ジンセイ,牡3,56.0,川田,2:12.4,,4,8.1,34.6,栗東庄野,506(0)
2,7,13,スカイサーベイ,牡3,56.0,Cデム,2:12.8,2.1/2,6,16.9,34.7,栗東池添,478(+2)
3,3,5,ステラクラウン,牝3,54.0,岩田望,2:12.8,アタマ,2,4.2,34.7,栗東上村,498(-6)
4,1,1,クルミナーレ,牡3,56.0,ルメー,2:12.8,アタマ,1,2.7,34.4,栗東池江,504(+8)
5,7,12,ショウナンガチ,牡3,56.0,池添,2:13.0,1.1/4,9,26.1,34.3,栗東須貝,500(-4)
6,5,8,ストーンズ,牡3,56.0,ムーア,2:13.2,1.1/4,3,5.0,34.9,栗東友道,498(-4)
7,6,11,ヴェルテンベルク,牡4,58.0,藤岡佑,2:13.3,クビ,5,15.8,35.0,栗東宮本,488(+6)
8,4,7,アメジストブラック,牡5,55.0,▲吉村,2:13.3,アタマ,12,60.5,34.8,栗東小椋,532(+14)
9,5,9,ミラキュラスドラマ,牡3,55.0,☆田口,2:13.5,1.1/4,13,123.4,35.0,栗東宮地,454(-2)
10,3,4,ジャスティンライズ,牡3,56.0,北村友,2:13.6,クビ,10,29.5,34.5,栗東吉岡,530(+12)
11,8,14,ミッキーストライク,牡3,56.0,坂井,2:13.6,クビ,7,22.2,35.7,栗東矢作,516(-12)
12,6,10,スノーブリザード,牡3,56.0,鮫島駿,2:13.7,1/2,8,24.5,35.4,栗東畑端,472(-10)
13,2,3,ウインデイジー,牝3,54.0,松山,2:13.9,1.1/4,11,57.2,34.5,栗東宮,446(+14)
14,4,6,ユイノオトコヤマ,牡4,58.0,木幡初,2:14.1,1.1/4,14,186.0,35.3,美浦深山,472(-2)
15,2,2,ピエナオルフェ,牡3,56.0,城戸,2:15.1,6,15,310.3,35.4,栗東荒川,446(+14)
