コーナー,通過順
1コーナー,"(*10,8)-9-(6,5)(2,7)1(4,3)"
2コーナー,"8,10=9-(6,5)-(2,7)-1-(4,3)"
3コーナー,"8-(10,9)(6,5)(2,7)-1,3-4"
4コーナー,"(8,*9,5)(6,7,1)(2,3)-10-4"
