馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ラエール,牝6,上野,美浦・土田,先行,97.9,10,11,,13.2,420(-8),新潟,14,中1週,Y,,3,エイシンフラッシュ,ディープインパクト,,
2,2,トーアモルペウス,セ5,石神深,美浦・辻,先行,21.5,7,7,,13.8,492(+4),阪神,49,中6週,Y,,3,タリスマニック,クロフネ,,B
3,3,メイショウアツイタ,牡7,難波,栗東・高橋忠,差し,12.4,5,6,,14.1,514(+12),阪神,63,中8週,Y,,3,フェノーメノ,Deputy Minister,,
4,4,ウイングランブルー,牡5,大江圭,美浦・深山,,8.9,4,1,障害4歳以上未勝利,13.6,464(-4),中山,42,中5週,Y,,3,ゴールドシップ,ボストンハーバー,,
5,5,アンクルブラック,牡5,高田,栗東・高橋亮,先行,2.0,1,1,,13.5,478(-4),小倉,84,中11週,Y,,3,キタサンブラック,ダンスインザダーク,,
6,6,ブリヨンカズマ,牡6,,美浦・高橋文,差し,21.2,6,4,,13.7,518(-8),阪神,49,中6週,Y,,3,クロフネ,ルーラーシップ,,
7,7,クラップサンダー,牡6,黒岩,栗東・牧田,逃げ,63.7,9,5,,14.1,476(+12),阪神,63,中8週,Y,,3,ジャスタウェイ,キングカメハメハ,,
8,7,レッドバロッサ,セ6,小牧加,栗東・佐藤悠,先行,4.1,2,1,,13.7,510(-6),阪神,49,中6週,Y,,3,ドレフォン,ディープインパクト,,
9,8,ケンアンビシャス,牡7,草野,美浦・久保田,逃げ,24.8,8,6,,13.5,482(+6),中山,56,中7週,Y,,3,トゥザワールド,モルフェデスペクタ,,
10,8,アサクサゲンキ,セ1,小坂,栗東・四位,先行,6.3,3,11,,13.5,474(-4),小倉,91,中12週,Y,,3,Stormy Atlantic,Dixieland Band,,
