馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アドアプローズ,牡5,60.0,上野,美浦・小手川,追込,25.5,9,6,障害3歳以上未勝利,13.7,478(-6),小倉,66,中8週,Y,,2,ジャングルポケット,キングカメハメハ,,
2,2,カルマンフィルター,牡5,60.0,草野,美浦・戸田,先行,5.3,2,9,障害4歳以上未勝利,13.9,496(+4),中山,163,中22週,Y,,3,スワーヴリチャード,シンボリクリスエス,,B
3,3,コトブキヘスペラス,牡6,60.0,小野寺,美浦・金成,差し,62.3,12,8,障害3歳以上未勝利,13.3,480(+2),新潟,58,中7週,Y,,3,ハーツクライ,Lemon Drop Kid,,
4,3,テンプーシャオン,牡6,60.0,金子,美浦・和田勇,差し,152.8,14,10,3歳以上1勝クラス,35.4,430(-6),福島,87,中11週,Y,,2,ドレフォン,クロフネ,,
5,4,ゴーツウキリシマ,牝6,58.0,黒岩,栗東・牧田,,14.9,7,3,,40.0,468(+1),佐賀,68,中9週,,,2,ナムラタイタン,グラスワンダー,,
6,4,シュハリ,牡6,60.0,大江圭,美浦・粕谷,差し,36.9,10,6,障害3歳以上未勝利,13.1,464(+2),福島,86,中11週,Y,,3,カレンブラックヒル,Kris,,B
7,5,アルシミスト,セ5,58.0,坂口,美浦・浅利,先行,12.0,6,8,障害3歳以上未勝利,13.9,510(-10),東京,93,中12週,Y,,3,オルフェーヴル,Tapizar,,
8,5,バンデルオーラ,牡7,60.0,,美浦・岩戸,差し,11.4,5,10,障害3歳以上未勝利,13.4,490(+4),新潟,58,中7週,Y,,3,トーセンラー,サクラバクシンオー,,B
9,6,アバットゥータ,牡4,57.0,井上,栗東・中竹,先行,5.9,4,9,障害3歳以上未勝利,14.4,486(+8),中京,52,中6週,Y,,3,ハービンジャー,キングカメハメハ,,B
10,6,ブランフォルテ,牡4,57.0,水沼,美浦・辻,差し,5.4,3,2,障害3歳以上未勝利,13.4,484(-2),小倉,65,中8週,Y,,3,シルバーステート,ブライアンズタイム,,
11,7,ロイガヴェーグル,牡6,60.0,中村,栗東・浜田,差し,90.3,13,9,障害4歳以上未勝利,14.3,454(+8),東京,115,中15週,Y,,3,サトノアラジン,フレンチデピュティ,,
12,7,ニシノブレイゼスト,牡4,60.0,五十嵐,美浦・高木,追込,17.1,8,11,障害3歳以上未勝利,13.5,504(+2),新潟,58,中7週,Y,,3,シルバーステート,グランデラ,,
13,8,サトノドルチェ,セ7,60.0,江田勇,美浦・蛯名利,先行,40.9,11,4,障害3歳以上未勝利,13.5,458(+8),中京,30,中3週,Y,,2,オルフェーヴル,Danehill Dancer,,
14,8,グランナヴィール,牡5,60.0,難波,美浦・堀内,差し,3.4,1,2,障害4歳以上未勝利,13.7,556(+16),中山,163,中22週,Y,,3,ゴールドシップ,クロフネ,,B
