馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,マイバラード,牡6,55.0,遠藤,美浦・松永康,差し,44.2,11,2,3歳以上1勝クラス,35.6,476(-2),札幌,28,中3週,Y,,3,ダノンバラード,ロージズインメイ,,
2,1,マイネルクオリア,牡3,55.0,丹内,美浦・武市,追込,11.8,4,10,,34.6,502(0),東京,146,中20週,Y,,2,ベンバトル,アグネスデジタル,,
3,2,サクラアドリア,牡4,58.0,田辺,美浦・尾関,差し,19.7,6,11,,35.7,484(-2),札幌,21,中2週,Y,,3,イスラボニータ,マンハッタンカフェ,,
4,2,ジンガー,牡4,58.0,柴田大,美浦・粕谷,差し,360.1,17,14,,40.9,496(-2),新潟,28,中3週,Y,,1,スワーヴリチャード,アドマイヤムーン,,
5,3,ベルウッドバイオ,牡3,54.0,長浜,美浦・高橋文,差し,21.0,7,7,3歳以上1勝クラス,33.7,480(0),新潟,41,中5週,Y,,3,ダノンスマッシュ,ハーツクライ,,
6,3,ダノンファンスター,牡3,55.0,ルメー,美浦・田中博,差し,1.7,1,4,3歳以上1勝クラス,33.1,456(-6),新潟,41,中5週,Y,,3,キズナ,Adelaide,,
7,4,グランアルト,牡3,55.0,横山琉,美浦・斎藤誠,差し,46.9,12,7,3歳以上1勝クラス,38.0,518(+10),札幌,55,中7週,Y,,3,ワールドプレミア,シャンハイボビー,,
8,4,リアルショット,牡4,58.0,木幡巧,美浦・加藤征,差し,353.7,16,14,4歳以上1勝クラス,34.9,462(-4),中京,182,中25週,Y,Y,3,リアルスティール,ファルブラヴ,,
9,5,リーゼノアール,セ6,58.0,,美浦・清水英,先行,145.5,14,18,4歳以上1勝クラス,36.8,498(+6),中山,257,中36週,Y,Y,3,エピファネイア,アルデバランII,,
10,5,ペプチドドリーム,牡3,55.0,野中,美浦・松尾,先行,22.3,9,15,,36.4,464(0),中山,21,中2週,Y,,3,ヘンリーバローズ,キングカメハメハ,,
11,6,ロスパレドネス,牡3,55.0,津村,美浦・木村,差し,25.4,10,12,3歳以上1勝クラス,35.7,498(-2),福島,69,中9週,Y,,3,ドレフォン,キングカメハメハ,,
12,6,ルンベーラ,牝3,53.0,佐々木,美浦・菊川,先行,16.4,5,4,,34.3,460(0),中山,21,中2週,Y,,3,ミッキーグローリー,タイキシャトル,,
13,7,カテドラルクォーツ,牡3,55.0,岩田康,美浦・菊沢,,21.6,8,1,3歳未勝利,37.4,474(+4),中山,20,中2週,Y,,3,ブリックスアンドモルタル,エンパイアメーカー,,
14,7,タイキアロハ,牡3,55.0,菊沢,美浦・西田,差し,134.3,13,1,3歳未勝利,36.1,504(+18),新潟,140,中19週,Y,,3,ラブリーデイ,モンテロッソ,,
15,7,ハードワーカー,牝4,56.0,江田照,美浦・竹内,,162.1,15,10,,34.1,468(+8),新潟,420,中59週,Y,Y,3,ノーブルミッション,マンハッタンカフェ,,
16,8,ミッドセンチュリー,牡4,58.0,嶋田,美浦・松山,差し,8.7,2,3,3歳以上1勝クラス,35.3,474(+6),新潟,28,中3週,Y,,3,トゥザグローリー,エイシンフラッシュ,,
17,8,ヴァルカンテソーロ,牡3,55.0,戸崎圭,美浦・嘉藤,差し,8.8,3,5,3歳以上1勝クラス,37.7,446(0),中山,14,中1週,Y,,3,ゴールドシップ,Scat Daddy,,
18,8,キングプロフィット,牡5,56.0,石田,美浦・天間,追込,424.5,18,9,3歳以上1勝クラス,39.1,480(-6),福島,69,中9週,Y,,3,キンシャサノキセキ,Kingmambo,,
