券種,組み合わせ,配当,人気
単勝,5,410,2
複勝,5,160,2
複勝,9,130,1
複勝,13,500,9
枠連,3-5,410,1
馬連,5-9,540,1
ワイド,5-9,280,1
ワイド,5-13,2450,28
ワイド,9-13,1080,12
馬単,5-9,1240,3
3連複,5-9-13,6370,22
3連単,5-9-13,23220,61
