馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ペイドラロワール,牡4,吉村,栗東・清水久,差し,114.3,14,14,,36.3,472(-4),阪神,15,中1週,Y,,3,ダイワメジャー,キングカメハメハ,,
2,2,タイキヴァンクール,牡5,,栗東・中尾,,5.9,4,5,,34.6,528(0),阪神,15,中1週,Y,,3,エイシンヒカリ,キングヘイロー,,
3,2,メイショウミリオレ,牝5,武豊,栗東・藤岡健,追込,10.4,5,4,,33.2,492(+2),中京,36,中4週,Y,,3,ルーラーシップ,ディープインパクト,,
4,3,アスクキングコング,セ8,荻野琢,栗東・梅田,差し,219.2,15,8,4歳以上2勝クラス,34.8,462(-2),阪神,21,中2週,Y,,3,ロードカナロア,アグネスタキオン,,
5,3,ブルボンクイーン,牝5,角田和,栗東・角田,先行,30.2,10,10,4歳以上2勝クラス,35.5,490(-12),阪神,21,中2週,Y,,3,キズナ,ボストンハーバー,,B
6,4,バシレウスシチー,牡7,菱田,栗東・岡田,差し,31.4,11,9,,34.4,458(-2),福島,8,連闘,Y,,3,ビッグアーサー,ディープインパクト,,
7,4,マジカルフェアリー,牝4,岩田望,栗東・寺島,差し,12.2,6,6,,34.2,450(+14),福島,22,中2週,Y,,3,サートゥルナーリア,ヘニーヒューズ,,B
8,5,サディーク,牝4,松若,栗東・河嶋,先行,5.0,2,1,4歳以上1勝クラス,34.0,440(+2),福島,21,中2週,Y,,3,Into Mischief,Malibu Moon,,
9,5,アオイレーギーナ,牝4,池添,栗東・宮地,差し,5.1,3,9,,33.2,484(-6),中山,15,中1週,Y,,3,リアルスティール,ヨハネスブルグ,,
10,6,ミロワール,牝7,,栗東・柴田,差し,109.2,13,5,4歳以上2勝クラス,33.0,476(0),阪神,29,中3週,Y,,3,ロードカナロア,ダンスインザダーク,,
11,6,アタリダイキチ,牡4,津村,美浦・西田,差し,59.9,12,7,,34.4,486(+2),福島,22,中2週,Y,,3,アルアイン,パイロ,,
12,7,モズアンタレス,牝6,北村友,栗東・飯田,差し,27.9,9,4,,33.5,514(+10),阪神,15,中1週,Y,,3,グランプリボス,クロフネ,,
13,7,アストラカ,セ5,藤懸,栗東・石坂,先行,16.9,7,7,,36.3,490(+2),中山,15,中1週,Y,,3,ドレフォン,ダイワメジャー,,B
14,8,タガノアンファン,牡4,川田,栗東・石坂,差し,3.6,1,2,4歳以上2勝クラス,33.1,482(+8),阪神,29,中3週,Y,,3,レッドベルジュール,ロードカナロア,,
15,8,カリーシ,牝5,戸崎圭,美浦・武井,差し,27.5,8,3,4歳以上2勝クラス,33.7,454(-4),中山,35,中4週,Y,,3,モーリス,ダイワメジャー,,
