コーナー,通過順
1コーナー,"(*4,8)10,6-5,7-3,9,11-1-2"
2コーナー,"(*4,8)10,6,5,7-3-9,11-1,2"
3コーナー,"4-8(5,10)6(3,11)(7,9)(2,1)"
4コーナー,"4(3,11)(5,9)1(10,6,2)7,8"
