着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,5,カテドラルクォーツ,牡3,57.0,岩田康,2:04.4,,17,244.9,37.4,美浦菊沢,470(-8)
2,2,4,ジェイエルグリーン,牝3,55.0,原,2:04.6,1.1/2,15,155.8,37.3,美浦平岩,456(-2)
3,7,13,サンクレゾン,牝3,55.0,北村友,2:04.8,1.1/2,6,25.9,35.9,美浦大竹,442(-6)
4,1,1,ウインスターリング,牡3,57.0,ミシェ,2:04.9,1/2,9,37.6,37.4,美浦畠山,486(0)
5,4,8,ブラッキッシュ,牡3,57.0,ルメー,2:04.9,アタマ,1,1.5,36.9,美浦木村,428(-2)
6,8,16,ブリックアブラック,牡3,55.0,△石田,2:05.0,3/4,11,51.8,36.6,美浦高木,444(-4)
7,2,3,ラクシオンデクラ,牡3,55.0,△石神道,2:05.2,1,14,88.8,37.4,美浦尾関,436(-4)
8,7,15,ワイズファミリア,牝3,55.0,丸田,2:05.3,1/2,5,14.7,37.0,美浦本間,466(-6)
9,8,18,ハルノアメ,牡3,54.0,▲佐藤,2:05.7,2.1/2,12,55.1,37.5,美浦上原博,422(-2)
10,5,10,シホノグラツィア,牡3,57.0,団野,2:05.9,1.1/4,8,34.2,38.7,栗東佐藤悠,482(-2)
11,5,9,クリスタルドレス,牝3,55.0,杉原,2:06.4,3,4,12.5,38.6,美浦高橋文,428(-2)
12,3,6,マイネルオラクル,牡3,57.0,柴田大,2:06.5,クビ,10,42.8,39.1,美浦尾関,498(-2)
13,6,11,エラガバリウム,セ3,57.0,津村,2:06.8,1.3/4,3,12.4,39.2,美浦千葉,446(+6)
14,8,17,ソフィア,牝3,55.0,木幡初,2:07.3,3,16,202.3,38.9,美浦鹿戸,444(+10)
15,1,2,セキテイリノ,牡3,57.0,江田照,2:07.6,1.3/4,2,6.0,39.4,美浦田中剛,470(+2)
16,7,14,ピグマリオン,牡3,57.0,嶋田,2:07.6,ハナ,18,433.1,39.8,美浦室井,454(-2)
17,6,12,ディエスルージュ,牝3,55.0,木幡巧,2:08.2,4,7,31.0,40.9,美浦秋本,444(+6)
18,4,7,ジャストマイウェイ,牝3,55.0,内田博,2:08.7,2.1/2,13,69.2,41.5,美浦奥村武,518(+8)
