馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,サムシングニュー,牡3,55.0,ミシェ,美浦・鹿戸,差し,6.9,2,3,3歳以上1勝クラス,39.2,,福島,65,中8週,Y,,3,エイシンフラッシュ,タートルボウル,,
2,2,ブレスドナイル,牝4,56.0,佐々木,美浦・金成,差し,19.9,7,3,,38.0,,中京,31,中3週,Y,,3,Gun Runner,Pioneerof the Nile,,
3,3,タケルムサシ,牡3,55.0,斎藤,美浦・斎藤誠,差し,8.9,3,5,3歳以上1勝クラス,38.3,,中山,16,中1週,Y,,3,ルヴァンスレーヴ,ダイワメジャー,,B
4,3,ビリオネアボーイ,牡4,58.0,木幡巧,美浦・武市,差し,33.6,9,14,3歳以上1勝クラス,36.3,,新潟,24,中2週,Y,,1,American Pharoah,Speightstown,,
5,4,ペルヴォルム,牝3,50.0,上里,美浦・加藤和,追込,71.4,13,12,3歳未勝利,37.8,,札幌,52,中6週,Y,,3,ダノンキングリー,Shackleford,,
6,4,メトロポリターナ,牝5,56.0,丸田,美浦・粕谷,差し,59.1,12,10,3歳以上1勝クラス,38.4,,中山,16,中1週,Y,,3,Masar,Shamardal,,
7,5,ユアフェリシティ,牡3,55.0,原田和,美浦・千葉,先行,1.8,1,2,3歳以上1勝クラス,38.5,,中山,10,連闘,Y,,3,ルヴァンスレーヴ,エリシオ,,
8,5,ホーナー,牡3,55.0,菊沢,美浦・栗田,先行,37.0,10,13,3歳1勝クラス,36.7,,東京,122,中16週,Y,,3,Improbable,Pure Prize,,
9,6,オウケンヴィーナス,牝5,56.0,木幡育,美浦・松永康,差し,53.9,11,9,4歳以上1勝クラス,38.7,,阪神,185,中25週,Y,Y,3,ルーラーシップ,クロフネ,,B
10,6,サムワンライクユー,牡6,58.0,内田博,美浦・佐藤吉,差し,27.1,8,9,3歳以上1勝クラス,36.4,,東京,94,中12週,Y,,3,グレーターロンドン,アグネスデジタル,,
11,7,クリノゴッホ,セ6,58.0,,美浦・新開,先行,86.7,14,16,3歳以上1勝クラス,36.7,,中山,9,連闘,Y,,3,マツリダゴッホ,Lawman,,
12,7,レボルシオン,牡5,58.0,江田照,美浦・蛯名正,,10.7,5,5,,40.2,,新潟,38,中4週,Y,,3,キタサンブラック,スウェプトオーヴァーボード,,
13,8,ナックスプレンダー,牡3,55.0,吉田豊,美浦・小野,差し,14.8,6,3,3歳未勝利,38.9,,中山,191,中26週,Y,Y,3,エスポワールシチー,アグネスタキオン,,
14,8,アンシュウマト,牡3,55.0,,美浦・中川,先行,10.1,4,8,,39.7,,新潟,38,中4週,Y,,3,マクフィ,シンボリクリスエス,,
