コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"5(12,10)2(6,8,14)(11,15)(4,9)(3,7,13,16)1"
4コーナー,"5,12(2,10)6(9,8,14)(11,15)(4,7,13,16)(3,1)"
