登録番号,馬名,性齢,斤量,騎手,厩舎,脚質,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,アイキャンドウイッ,牡7,58.0,ミシェ,栗東・池江,差し,8,,33.9,,中京,35,中4週,Y,,3,ディープインパクト,Shamardal,,
16,コスモイシュタル,牝4,56.0,松岡,美浦・深山,先行,3,,35.3,,福島,70,中9週,Y,,3,ゴールドシップ,アドマイヤマックス,,
7,サンライズバブル,牡4,58.0,田辺,栗東・前川,差し,4,,34.3,,阪神,14,中1週,Y,,3,ゴールドシップ,バゴ,,B
12,ジェットブレード,牡4,58.0,菊沢,美浦・青木,先行,4,,34.3,,中京,28,中3週,Y,,3,ビーチパトロール,ハーツクライ,,
3,ジャンビ,牝5,56.0,石橋脩,美浦・勢司,追込,11,,34.6,,新潟,29,中3週,Y,,3,スクリーンヒーロー,クロフネ,,
11,スイートオレンジ,牝4,56.0,西村淳,美浦・中川,先行,5,,34.4,,中京,28,中3週,Y,,3,ゴールドシップ,コンデュイット,,
13,ダノンカゼルタ,セ4,58.0,岩田望,栗東・寺島,先行,6,,35.0,,阪神,21,中2週,Y,,3,サートゥルナーリア,ハービンジャー,,
18,ドナルンバ,牝3,53.0,荻野極,美浦・上原佑,先行,1,3歳以上1勝クラス,34.6,,福島,78,中10週,Y,,3,サトノアラジン,ルーラーシップ,,
4,トレミニョン,牝5,56.0,岩田康,美浦・和田勇,先行,9,,35.8,,函館,70,中9週,Y,,3,リアルインパクト,Anabaa Blue,,
15,ハニードレス,牝4,56.0,松山,美浦・牧,差し,3,,36.8,,札幌,29,中3週,Y,,3,ブリックスアンドモルタル,Doyen,,
2,フナデ,牡5,58.0,木幡巧,美浦・嘉藤,追込,10,,35.8,,札幌,21,中2週,Y,,3,ゴールドシップ,ディープインパクト,,
5,プリズマジコ,牡5,58.0,,栗東・高橋忠,差し,,,0.0,,新潟,43,中5週,Y,,3,キズナ,グランデラ,,
9,ベネスピラ,牡4,58.0,小林美,美浦・鹿戸,先行,12,,37.4,,札幌,35,中4週,Y,,3,レイデオロ,ディープインパクト,,
6,マイネルバーテクス,牡5,58.0,丹内,美浦・水野,差し,11,,38.2,,札幌,29,中3週,Y,,3,エピファネイア,ステイゴールド,,
14,マテンロウギフト,牡4,58.0,戸崎圭,栗東・茶木,差し,,,,,京都,126,中17週,Y,,3,サートゥルナーリア,ディープインパクト,,
19,ミツカネベネラ,牝3,53.0,野中,美浦・鈴木伸,差し,16,,33.9,,東京,126,中17週,Y,,3,モーリス,ダイワメジャー,,
17,ルージュボヤージュ,牝3,53.0,杉原,美浦・木村,先行,10,,35.0,,福島,91,中12週,Y,,3,コントレイル,Orpen,,
10,レイヤードレッド,牡4,58.0,嶋田,美浦・手塚久,差し,6,,36.6,,中山,8,連闘,Y,,3,フィエールマン,スニッツェル,,
