コーナー,通過順
1コーナー,"14(15,9)-8(5,16)3,2(4,10)7(1,13)6,12=11"
2コーナー,"14,15,9(8,16)-5,3(2,10)(4,7)-(1,13,6)-12-11"
3コーナー,"(*14,9,16)-8,10(15,7)2(3,4)-(1,6)11,12-5-13"
4コーナー,"(14,9,*16)-(8,7)10(3,4)-11(2,15,1)6,12=13-5"
