馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,オウギノカナメ,牡6,丹内,美浦・高木,先行,31.6,8,9,,36.5,484(0),東京,70,中9週,Y,,3,キタサンブラック,Petionville,,
2,2,ラタフォレスト,牡5,斎藤,美浦・加藤征,先行,4.5,2,1,,37.0,506(-4),福島,85,中11週,Y,,3,パイロ,ゴールドアリュール,,
3,3,テーオードレフォン,牡7,古川吉,栗東・梅田,先行,37.7,9,14,,38.0,500(-6),京都,161,中22週,Y,,3,ドレフォン,ブライアンズタイム,,
4,4,プロミストジーン,牝4,池添,美浦・上原佑,先行,4.2,1,4,,38.3,468(0),川崎,53,中7週,,,1,ナダル,ヘニーヒューズ,,
5,5,ホールシバン,セ8,秋山稔,栗東・高橋忠,差し,106.9,11,6,,36.8,540(+16),福島,85,中11週,Y,,3,パイロ,Hard Spun,,
6,6,レヴォントゥレット,牡5,鮫島駿,栗東・矢作,先行,13.6,7,6,,36.1,488(+6),東京,15,中1週,Y,,3,ロードカナロア,マンハッタンカフェ,,B
7,6,ヒルノハンブルク,牡4,武豊,栗東・武英,先行,6.3,5,1,,36.2,466(-6),京都,50,中6週,Y,,3,ナダル,ステイゴールド,,
8,7,アスクデビューモア,牡5,岩田康,栗東・福永,差し,62.3,10,13,,38.6,458(-4),中山,119,中16週,Y,,3,マインドユアビスケッツ,フレンチデピュティ,,
9,7,カナルビーグル,牡4,横山武,栗東・佐藤悠,先行,10.8,6,5,,37.4,520(+12),大井,389,中55週,,Y,2,リアルスティール,Include,,B
10,8,コトホドサヨウニ,牡5,佐々木,栗東・奥村豊,先行,5.0,3,8,,37.7,522(+6),福島,85,中11週,Y,,3,シニスターミニスター,ハーツクライ,,
11,8,ワイドブリザード,セ5,浜中,栗東・佐藤悠,,5.1,4,10,,38.4,448(-6),京都,56,中7週,Y,,3,カリフォルニアクローム,ディープインパクト,,B
