コーナー,通過順
1コーナー,
2コーナー,
3コーナー,"13,16(3,8)(4,6,10)(2,5,11)(12,14)(7,9)(1,15)"
4コーナー,"13,16(3,8)10(4,6)11(2,5)(12,14)(7,9)15,1"
