馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,メイショウチタン,牡9,菊沢,栗東・本田,逃げ,17.9,8,3,,34.8,478(0),阪神,42,中5週,Y,,3,ロードカナロア,マイネルラヴ,,
2,2,ニシノエージェント,牡4,横山琉,美浦・千葉,差し,45.0,13,14,,35.1,474(-8),中山,70,中9週,Y,,3,イスラボニータ,ノヴェリスト,,
3,3,マサノカナリア,牝5,富田,栗東・藤野,先行,35.6,12,17,,34.9,462(-2),中京,49,中6週,Y,,3,シルバーステート,メイショウボーラー,,
4,3,ビーアストニッシド,牡7,西村太,美浦・堀内,先行,171.0,14,13,,35.5,474(-10),小倉,77,中10週,Y,,3,アメリカンペイトリオット,ネオユニヴァース,,
5,4,グレイイングリーン,牡8,荻野極,栗東・池江,差し,9.3,4,6,,34.0,496(-14),阪神,42,中5週,Y,,3,ディープインパクト,Closing Argument,,
6,4,グロリアラウス,セ5,亀田,栗東・斉藤崇,先行,9.5,5,12,,35.2,508(-4),阪神,78,中10週,Y,,3,リアルインパクト,Songandaprayer,,
7,5,ランフォーヴァウ,牝4,石川,栗東・福永,差し,15.0,7,6,,34.2,446(-6),中山,56,中7週,Y,,3,ロードカナロア,ディープインパクト,,B
8,5,アクートゥス,セ6,和田陽,栗東・藤原,差し,25.9,10,6,,33.3,450(0),中山,28,中3週,Y,,3,ルーラーシップ,ディープインパクト,,
9,6,アルテヴェローチェ,牡4,国分優,栗東・須貝,差し,6.0,2,6,,33.8,454(-2),阪神,78,中10週,Y,,3,モーリス,ディープインパクト,,
10,6,アルセナール,牝5,杉原,美浦・木村,先行,22.0,9,12,,33.1,464(+2),中山,154,中21週,Y,,3,エピファネイア,ダイワメジャー,,
11,7,クランフォード,牝5,ゴンサ,栗東・杉山晴,先行,2.7,1,4,,33.4,472(+2),阪神,29,中3週,Y,,3,ブリックスアンドモルタル,キングカメハメハ,,
12,7,ナムラアトム,牡5,菱田,栗東・長谷川,差し,7.7,3,17,,35.4,492(-2),阪神,78,中10週,Y,,3,リアルインパクト,Storm Cat,,B
13,8,シンフォーエバー,牡4,江田照,栗東・森秀,,31.1,11,13,,,,キングアブドゥルアジーズ,84,中11週,,,2,Complexity,Pulpit,,
14,8,サトノカルナバル,牡4,小崎,美浦・堀,差し,11.0,6,12,,33.7,534(+2),京都,85,中11週,Y,,3,キタサンブラック,Numerous,,B
