券種,組み合わせ,配当,人気
単勝,8,550,4
複勝,8,170,3
複勝,3,190,5
複勝,7,140,1
枠連,3-7,1620,9
馬連,3-8,1570,9
ワイド,3-8,500,7
ワイド,7-8,370,1
ワイド,3-7,480,5
馬単,8-3,3540,18
3連複,3-7-8,1840,4
3連単,8-3-7,14590,56
