券種,組み合わせ,配当,人気
単勝,3,2980,7
複勝,3,600,7
複勝,5,210,5
複勝,4,150,1
枠連,3-5,6610,19
馬連,3-5,6250,18
ワイド,3-5,1740,18
ワイド,3-4,1520,16
ワイド,4-5,400,4
馬単,3-5,17930,43
3連複,3-4-5,7200,24
3連単,3-5-4,79320,223
