券種,組み合わせ,配当,人気
単勝,13,1860,8
複勝,13,410,8
複勝,5,210,2
複勝,12,130,1
枠連,4-8,5730,17
馬連,5-13,9180,29
ワイド,5-13,2360,29
ワイド,12-13,950,10
ワイド,5-12,400,2
馬単,13-5,17770,58
3連複,5-12-13,6280,19
3連単,13-5-12,72510,221
