馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,リプレイ,牝4,土田,美浦・戸田,差し,122.7,12,6,障害3歳以上未勝利,14.6,438(+8),阪神,28,中3週,Y,,3,ミッキーアイル,Unbridled's Song,,
2,2,トーアマリシテン,セ4,石神深,美浦・小島,差し,140.8,14,8,障害3歳以上未勝利,13.6,454(+4),中京,64,中8週,Y,,3,ビーチパトロール,クロフネ,,
3,3,ボエーム,牡4,坂口,美浦・石栗,差し,128.7,13,16,3歳以上1勝クラス,40.0,450(+4),中山,22,中2週,Y,,3,アニマルキングダム,ローエングリン,,
4,3,ペンティメント,牡5,,美浦・嘉藤,先行,17.3,7,13,,39.2,506(+14),福島,92,中12週,Y,,3,レッドファルクス,ティンバーカントリー,,
5,4,カールスタード,セ4,小牧加,栗東・武幸,差し,23.3,8,10,3歳以上1勝クラス,36.9,494(+6),小倉,86,中11週,Y,,3,キズナ,クロフネ,,
6,4,テーオーリカード,セ5,小野寺,栗東・高柳大,先行,1.9,1,3,障害3歳以上未勝利,14.3,488(-2),阪神,28,中3週,Y,,3,パイロ,ネオユニヴァース,,
7,5,ジーティーオウジャ,セ4,水沼,美浦・石栗,先行,4.5,2,4,障害3歳以上未勝利,13.6,526(+10),東京,113,中15週,Y,,3,ルーラーシップ,シンボリクリスエス,,
8,5,ビリオネアボーイ,牡3,小坂,栗東・新谷,差し,113.0,11,5,3歳未勝利,36.3,476(+8),札幌,44,中5週,Y,,3,American Pharoah,Speightstown,,
9,6,メイショウコガシラ,牡5,森一,栗東・本田,先行,14.1,6,8,,38.7,494(+2),中京,65,中8週,Y,,3,メイショウボーラー,Elusive Quality,,
10,6,ゴールデンルーキー,牡4,草野,美浦・粕谷,差し,11.6,5,2,障害3歳以上未勝利,13.8,476(-2),中山,29,中3週,Y,,3,Catholic Boy,Mineshaft,,
11,7,サトノトルネード,牡5,上野,美浦・国枝,差し,9.0,3,7,障害3歳以上未勝利,13.8,532(+2),中山,37,中4週,Y,,3,ハーツクライ,Tiznow,,
12,7,ワカムシャ,牡3,大江圭,美浦・矢野,追込,83.4,10,11,障害3歳以上未勝利,13.9,492(+2),中山,16,中1週,Y,,3,バゴ,ヴィクトワールピサ,,
13,8,ニシノリアリティ,牡4,五十嵐,美浦・田村,,77.7,9,7,,32.6,520(+4),新潟,79,中10週,Y,,3,Saxon Warrior,Royal Applause,,
14,8,サンライズウェーヴ,牡4,難波,栗東・石坂,差し,9.7,4,5,障害3歳以上未勝利,13.2,494(-4),新潟,71,中9週,Y,,3,マジェスティックウォリアー,ゴールドアリュール,,
