コーナー,通過順
1コーナー,"12,9(1,3,8)(2,5,10)(4,6)-11,7"
2コーナー,"12,9(1,3,8)(2,5,10)(4,6)-11,7"
3コーナー,"12,9(1,8)(2,3)(4,5,10)6(7,11)"
4コーナー,"(*12,9)(1,8)(2,3)(10,11)(4,5)6,7"
