馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ノーブルキングダム,牡2,55.0,国分恭,栗東・宮本,,27.8,8,,,,506(0),,,,,,,エイシンフラッシュ,クロフネ,,
2,2,レガリアフォリア,牡2,55.0,北村友,栗東・四位,,5.7,2,,,,458(0),,,,,,,エフフォーリア,ハードスパン,,
3,2,ゴールデンステーラ,牡2,55.0,石橋脩,栗東・本田,,128.7,11,,,,510(0),,,,,,,コントレイル,Siyouni,,
4,3,プラトーローザ,牝2,55.0,小沢,栗東・羽月,,200.5,13,,,,478(0),,,,,,,サリオス,Galileo,,
5,3,ベニールラヴニール,牝2,55.0,吉村,栗東・清水久,,7.7,3,,,,466(0),,,,,,,ゴールドシップ,スクリーンヒーロー,,
6,4,カーティス,牡2,55.0,松山,栗東・杉山晴,,19.2,7,,,,518(0),,,,,,,サートゥルナーリア,ハービンジャー,,
8,5,トップオブドリーム,牡2,53.0,今村,栗東・寺島,,13.2,4,,,,512(0),,,,,,,モーリス,ハービンジャー,,
9,5,メイショウリベロ,牡2,52.0,森田,栗東・安達,,239.3,14,,,,458(0),,,,,,,ディスクリートキャット,ゴールドアリュール,,
10,6,ネーロノワール,牝2,55.0,川田,栗東・斉藤崇,,1.7,1,,,,504(0),,,,,,,キタサンブラック,ストリートセンス,,
11,6,サトノステラ,牡2,55.0,岩田望,栗東・友道,,13.4,6,,,,482(0),,,,,,,サートゥルナーリア,ハービンジャー,,
12,7,エールヴォル,牡2,55.0,松若,栗東・橋口,,13.3,5,,,,450(0),,,,,,,サトノクラウン,ヴィクトワールピサ,,
13,7,スナークルーベンス,牡2,55.0,富田,栗東・野中,,180.6,12,,,,498(0),,,,,,,ハービンジャー,ステイゴールド,,
14,8,レイルジェット,牡2,55.0,斎藤,栗東・藤野,,84.4,10,,,,450(0),,,,,,,キズナ,ブライアンズタイム,,
15,8,ケイアイヴェネチア,牡2,54.0,田山,栗東・新谷,,45.6,9,,,,496(0),,,,,,,ダノンスマッシュ,Unbridled's Song,,
