馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ロードオルデン,牡7,吉村,栗東・辻野,差し,175.1,14,14,,36.8,,阪神,106,中14週,Y,,3,リオンディーズ,ファルブラヴ,,
2,1,モズタチアガレ,牡4,Ｍデム,栗東・中尾,先行,16.6,7,3,3歳以上2勝クラス,36.7,,阪神,15,中1週,Y,,3,モズアスコット,タートルボウル,,
3,2,ポートデラメール,牝4,ルメー,栗東・斉藤崇,先行,3.8,2,5,,38.6,,中京,58,中7週,Y,,3,ナダル,ディープインパクト,,
4,2,ダイシンリンク,牡4,中井,栗東・森秀,差し,13.6,6,4,3歳以上2勝クラス,36.2,,阪神,15,中1週,Y,,3,モーニン,フレンチデピュティ,,
5,3,サンコンクエスト,牝4,太宰,栗東・渡辺,先行,204.6,16,4,東京カップ,37.6,,盛岡,20,中2週,,,2,サートゥルナーリア,Custom for Carlos,,B
6,3,コロナドブリッジ,牡3,西村淳,栗東・庄野,,9.2,4,15,,35.5,,福島,85,中11週,Y,,3,ベンバトル,ディープインパクト,,
7,4,プチプラージュ,牝4,,栗東・大根田,差し,193.3,15,10,,34.9,,京都,135,中18週,Y,,3,ストロングリターン,ザール,,
8,4,ワーズワース,牡8,浜中,栗東・高橋一,差し,32.8,9,7,,34.7,,東京,92,中12週,Y,,3,リオンディーズ,Dylan Thomas,,
9,5,スターオブロンドン,牡3,古川奈,栗東・矢作,差し,92.3,12,9,,38.4,,札幌,15,中1週,Y,,3,タワーオブロンドン,Sea The Stars,,
10,5,ラピダリア,牝5,池添,栗東・吉田,追込,121.5,13,10,,36.6,,中京,36,中4週,Y,,3,マジェスティックウォリアー,ヴァーミリアン,,
11,6,オコタンペ,牡5,富田,栗東・須貝,差し,92.2,11,8,,36.7,,中京,23,中2週,Y,,3,ニューイヤーズデイ,ハーツクライ,,B
12,6,ピカラ,牝3,戸崎圭,栗東・坂口,先行,2.8,1,2,3歳以上2勝クラス,36.7,,阪神,15,中1週,Y,,3,ミスチヴィアスアレックス,Point Given,,
13,7,アンビシャスヨシノ,牡4,角田和,栗東・吉田,差し,17.3,8,7,,37.0,,中京,36,中4週,Y,,3,アルアイン,スペシャルウィーク,,
14,7,ヤマニンバロネス,牝4,武豊,栗東・千田,差し,10.0,5,12,,37.1,,中京,58,中7週,Y,,3,シニスターミニスター,ディープインパクト,,
15,8,シーニックビュー,牡5,吉田隼,美浦・金成,先行,49.7,10,10,,39.3,,新潟,50,中6週,Y,,3,キズナ,クロフネ,,B
16,8,ライトオブヌカタ,牡3,岩田望,栗東・上村,先行,7.0,3,8,,35.8,,東京,92,中12週,Y,,3,City of Light,War Front,,
