馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,マーシヴィガラス,牡5,佐藤,美浦・的場,差し,354.5,15,16,3歳以上2勝クラス,36.4,510(-10),東京,27,中3週,Y,,3,ネロ,ホワイトマズル,,
2,2,ティルドーン,牡5,菅原明,栗東・森秀,先行,14.8,6,11,,42.8,538(0),中山,119,中16週,Y,,3,Mor Spirit,Indian Charlie,,
3,2,ホレーショ,牡4,杉原,美浦・西田,差し,9.0,5,7,,38.8,526(+6),中山,83,中11週,Y,,3,リアルインパクト,Candy Stripes,,
4,3,ヤウガウ,セ8,野中,美浦・金成,差し,72.5,11,7,,38.8,492(-6),新潟,56,中7週,Y,,3,ゴールドアリュール,Tiznow,,
5,3,ノルドヴェスト,牡5,戸崎圭,美浦・萩原,先行,7.4,3,1,4歳以上1勝クラス,36.0,472(0),東京,41,中5週,Y,,3,ロードカナロア,ネオユニヴァース,,
6,4,モンタナアゲート,牡6,,美浦・和田郎,差し,147.6,14,12,3歳以上2勝クラス,36.8,538(0),東京,27,中3週,Y,,3,ダイワメジャー,シングスピール,,
7,4,アイファーグローブ,牡6,石神道,美浦・蛯名利,先行,35.1,8,10,,39.6,470(-2),新潟,56,中7週,Y,,3,アイファーソング,Vindication,,
8,5,バナマンテソーロ,牡4,菊沢,美浦・加藤士,先行,18.1,7,3,,37.2,500(+2),東京,28,中3週,Y,,3,ハーツクライ,Astronomer Royal,,B
9,5,アパイシュナール,牝4,内田博,美浦・田村,先行,40.6,9,7,3歳以上2勝クラス,36.5,464(+4),東京,27,中3週,Y,,3,シニスターミニスター,キングカメハメハ,,
10,6,ピコニ,牡4,木幡巧,美浦・牧,,7.9,4,3,3歳以上2勝クラス,36.1,492(+2),東京,27,中3週,Y,,3,シニスターミニスター,ブライアンズタイム,,
11,6,モーニングヘイズ,セ6,石田,美浦・岩戸,先行,146.2,13,11,,40.4,524(-4),中山,98,中13週,Y,,3,Arrogate,Sir Cat,,B
12,7,アラレタバシル,牡4,丸山,美浦・根本,差し,4.9,2,5,,36.7,454(-4),阪神,35,中4週,Y,,3,ケープブランコ,デュランダル,,
13,7,ジュドー,セ5,遠藤,美浦・手塚久,差し,122.2,12,10,4歳以上2勝クラス,38.6,472(-16),中山,125,中17週,Y,,3,モーリス,ディープインパクト,,
14,8,スプレーフォール,牡4,横山琉,美浦・相沢,先行,57.8,10,8,,39.4,450(-2),中山,83,中11週,Y,,3,カリフォルニアクローム,ハービンジャー,,B
15,8,スペイドアン,牡4,田辺,美浦・加藤士,逃げ,2.2,1,2,3歳以上2勝クラス,35.9,498(0),東京,27,中3週,Y,,3,カリフォルニアクローム,ダイワメジャー,,
