券種,組み合わせ,配当,人気
単勝,8,200,1
複勝,8,130,1
複勝,15,350,6
複勝,16,790,10
枠連,4-8,1070,4
馬連,8-15,1650,5
ワイド,8-15,660,5
ワイド,8-16,2020,24
ワイド,15-16,4450,43
馬単,8-15,2440,6
3連複,8-15-16,15280,50
3連単,8-15-16,38720,122
