コーナー,通過順
1コーナー,"9,8,13(4,5)(1,2,10)(7,11)3(6,12)"
2コーナー,"9,8(4,13)5(1,10)2(7,11)3(6,12)"
3コーナー,"(*9,8,13)12(4,5,10,6)11(1,2)7,3"
4コーナー,"(9,8,*13)12(4,5,10,6)(1,2,11)(3,7)"
