券種,組み合わせ,配当,人気
単勝,1,280,1
複勝,1,140,1
複勝,5,220,4
複勝,3,270,5
枠連,1-5,1120,4
馬連,1-5,1160,4
ワイド,1-5,470,4
ワイド,1-3,610,6
ワイド,3-5,1520,19
馬単,1-5,1690,7
3連複,1-3-5,3820,13
3連単,1-5-3,15310,50
