馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ポリトナリティー,牝5,江田勇,美浦・和田雄,差し,206.6,12,13,,14.1,432(+2),阪神,35,中4週,Y,,3,エイシンヒカリ,バチアー,,
2,2,ゲインサポート,セ5,小牧加,栗東・斉藤崇,先行,19.7,8,6,,13.8,458(0),阪神,35,中4週,Y,,3,デクラレーションオブウォー,アグネスタキオン,,B
3,3,ナックエルドラド,牡4,水沼,美浦・小野,,22.2,9,1,障害3歳以上未勝利,13.8,512(+12),阪神,27,中3週,Y,,3,マインドユアビスケッツ,ネオユニヴァース,,
4,4,メイショウウネビ,牡7,森一,栗東・本田,差し,18.1,6,7,,13.4,508(+10),福島,63,中8週,Y,,3,メイショウサムソン,キングカメハメハ,,
5,5,テイエムマジック,牡8,難波,栗東・鈴木孝,先行,3.2,1,1,,13.7,534(0),阪神,35,中4週,Y,,3,マジェスティックウォリアー,スペシャルウィーク,,B
6,5,ジーククローネ,セ6,草野,美浦・宮田,差し,19.1,7,10,,14.1,458(+8),京都,77,中10週,Y,,3,サトノクラウン,サンデーサイレンス,,
7,6,コスモチプリア,牝6,,美浦・松永康,差し,56.3,11,9,3歳以上1勝クラス,35.4,460(+4),中京,41,中5週,Y,,3,ゴールドシップ,スウェプトオーヴァーボード,,
8,6,トーアモルペウス,セ6,石神深,美浦・辻,先行,9.1,5,5,,13.8,496(+14),京都,77,中10週,Y,,3,タリスマニック,クロフネ,,B
9,7,タイキフロリゼル,牡8,坂口,栗東・谷,差し,7.8,4,4,,13.6,478(+2),中山,49,中6週,Y,,3,リオンディーズ,クロフネ,,
10,7,ヴィンテージボンド,牡7,小野寺,栗東・西園正,差し,37.7,10,6,,13.7,498(+2),京都,14,中1週,Y,,3,キズナ,ホワイトマズル,,
11,8,エンデュミオン,牡9,鷲頭,栗東・清水久,差し,4.1,2,1,,13.3,482(+20),福島,63,中8週,Y,,3,ヴィクトワールピサ,ブライアンズタイム,,
12,8,ダイスアローリング,牡5,上野,美浦・古賀,逃げ,4.6,3,5,,13.4,524(+6),東京,70,中9週,Y,,3,サトノダイヤモンド,Smart Strike,,
