コーナー,通過順
1コーナー,"(*5,13)(2,15)(11,16)1(7,10)-12-14,8,3-6(4,9)"
2コーナー,"(*5,13)(2,15)(11,16)1(7,10)-12,14-8,3,6(4,9)"
3コーナー,"(*5,13)15(2,11,16)(7,10)1(14,9)(12,8,3,6,4)"
4コーナー,"(5,*13,15)16(2,11)(7,10)(1,9)(14,4)(12,6)(8,3)"
