馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ドナソレイ,牝2,横山武,美浦・伊藤圭,,3.7,2,,,,462(0),,,,,,,マテラスカイ,フリオーソ,,
2,2,ウルヴァリン,牡2,松岡,美浦・伊藤伸,,20.2,5,,,,490(0),,,,,,,ベストウォーリア,ネオユニヴァース,,
3,3,ヴィヒタ,牡2,丹内,美浦・松山,,12.8,4,,,,424(0),,,,,,,タワーオブロンドン,スウェプトオーヴァーボード,,
4,4,エムフォー,牡2,小林美,栗東・石坂,,1.4,1,,,,462(0),,,,,,,フォーウィールドライブ,バトルプラン,,
5,5,アッチョンブリケ,牝2,斎藤,栗東・小椋,,7.5,3,,,,422(0),,,,,,,マテラスカイ,ウォーエンブレム,,
6,6,スズランクイーン,牝2,和田陽,栗東・谷,,35.5,7,,,,438(0),,,,,,,アニマルキングダム,キズナ,,
7,7,リアルアルバ,牡2,森田,栗東・大橋,,32.6,6,,,,446(0),,,,,,,マテラスカイ,スペシャルウィーク,,
