馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,スターウェーブ,セ4,58.0,三浦,美浦・武井,差し,16.9,8,8,,34.3,,中京,55,中7週,Y,,3,Kingman,Dubawi,,
2,1,レッドレベンディス,牡3,56.0,武豊,栗東・庄野,差し,7.2,4,1,3歳以上1勝クラス,36.2,,阪神,104,中14週,Y,,3,クリソベリル,ロードカナロア,,
3,2,タイセイピューマ,牡5,58.0,大野,美浦・新開,差し,60.0,15,15,3歳以上2勝クラス,37.2,,新潟,48,中6週,Y,,3,ディスクリートキャット,ワイルドラッシュ,,
4,2,ザウリ,牡7,58.0,松若,栗東・森田,差し,23.3,13,5,,36.4,,中京,28,中3週,Y,,3,ビッグアーサー,バチアー,,
5,3,ブルーノート,牡7,58.0,藤懸,栗東・梅田,追込,45.2,14,5,3歳以上2勝クラス,37.1,,阪神,13,中1週,Y,,3,コパノリッキー,クロフネ,,
6,3,ゴールデンバランス,牡3,53.0,和田陽,栗東・杉山晴,逃げ,4.8,1,4,,34.4,,小倉,84,中11週,Y,,3,レイデオロ,Medaglia d'Oro,,B
7,4,タイセイディアマン,牡4,58.0,岩田望,栗東・大橋,差し,4.9,2,2,,34.9,,京都,147,中20週,Y,,3,カレンブラックヒル,キングカメハメハ,,
8,4,インディゴアスール,牡4,58.0,松山,栗東・鈴木孝,,13.4,6,4,4歳以上2勝クラス,36.1,,京都,133,中18週,Y,,3,リオンディーズ,フジキセキ,,
9,5,シュバルツガイスト,牡6,56.0,今村,美浦・手塚徳,差し,14.1,7,8,3歳以上2勝クラス,36.7,,新潟,48,中6週,Y,,3,キタサンブラック,Invincible Spirit,,
10,5,ニホンピロカラット,牡5,58.0,田口,栗東・大橋,先行,20.8,10,1,4歳以上1勝クラス,36.1,,京都,133,中18週,Y,,3,サトノダイヤモンド,スニッツェル,,
11,6,キャッチアシーフ,牡3,52.0,河原田,栗東・佐藤悠,先行,12.6,5,1,3歳以上1勝クラス,35.8,,阪神,7,連闘,Y,,3,マインドユアビスケッツ,ヴィクトワールピサ,,B
12,6,アスゴッド,牡4,56.0,古川奈,栗東・矢作,差し,22.1,11,16,,38.1,,中京,41,中5週,Y,,3,モズアスコット,ハーツクライ,,
13,7,ランドスター,牡3,54.0,永島,美浦・柄崎,差し,22.4,12,1,3歳以上1勝クラス,35.9,,札幌,49,中6週,Y,,3,シャンハイボビー,Invincible Spirit,,
14,7,ヒットミー,牝4,56.0,荻野極,美浦・鹿戸,,7.0,3,8,3歳以上2勝クラス,37.0,,札幌,55,中7週,Y,,3,シニスターミニスター,アルデバランII,,
15,8,ストロングボンド,セ3,56.0,吉田隼,美浦・菊川,逃げ,97.9,16,11,,36.6,,札幌,41,中5週,Y,,3,リーチザクラウン,ロードカナロア,,
16,8,ダズリングダンス,セ6,58.0,川須,栗東・小椋,先行,19.7,9,4,3歳以上2勝クラス,37.7,,阪神,13,中1週,Y,,3,タイセイレジェンド,アドマイヤマックス,,B
