券種,組み合わせ,配当,人気
単勝,8,570,3
複勝,8,170,4
複勝,2,410,7
複勝,1,110,1
枠連,2-8,3420,10
馬連,2-8,5290,14
ワイド,2-8,1170,15
ワイド,1-8,280,2
ワイド,1-2,660,12
馬単,8-2,9750,26
3連複,1-2-8,2460,8
3連単,8-2-1,27880,93
